value,realtime_end,date,realtime_start
1830.000,2018-11-01,1900-01-01,2018-11-01
1907.000,2018-11-01,1901-01-01,2018-11-01
1935.000,2018-11-01,1902-01-01,2018-11-01
1957.000,2018-11-01,1903-01-01,2018-11-01
1978.000,2018-11-01,1904-01-01,2018-11-01
2012.000,2018-11-01,1905-01-01,2018-11-01
2045.000,2018-11-01,1906-01-01,2018-11-01
2058.000,2018-11-01,1907-01-01,2018-11-01
2070.000,2018-11-01,1908-01-01,2018-11-01
2108.000,2018-11-01,1909-01-01,2018-11-01
2150.000,2018-11-01,1910-01-01,2018-11-01
2185.000,2018-11-01,1911-01-01,2018-11-01
2217.000,2018-11-01,1912-01-01,2018-11-01
2279.000,2018-11-01,1913-01-01,2018-11-01
2336.000,2018-11-01,1914-01-01,2018-11-01
2345.000,2018-11-01,1915-01-01,2018-11-01
2359.000,2018-11-01,1916-01-01,2018-11-01
2361.000,2018-11-01,1917-01-01,2018-11-01
2343.000,2018-11-01,1918-01-01,2018-11-01
2337.000,2018-11-01,1919-01-01,2018-11-01
2359.000,2018-11-01,1920-01-01,2018-11-01
2402.000,2018-11-01,1921-01-01,2018-11-01
2434.000,2018-11-01,1922-01-01,2018-11-01
2464.000,2018-11-01,1923-01-01,2018-11-01
2501.000,2018-11-01,1924-01-01,2018-11-01
2534.000,2018-11-01,1925-01-01,2018-11-01
2567.000,2018-11-01,1926-01-01,2018-11-01
2609.000,2018-11-01,1927-01-01,2018-11-01
2640.000,2018-11-01,1928-01-01,2018-11-01
2644.000,2018-11-01,1929-01-01,2018-11-01
2647.000,2018-11-01,1930-01-01,2018-11-01
2649.000,2018-11-01,1931-01-01,2018-11-01
2653.000,2018-11-01,1932-01-01,2018-11-01
2661.000,2018-11-01,1933-01-01,2018-11-01
2685.000,2018-11-01,1934-01-01,2018-11-01
2719.000,2018-11-01,1935-01-01,2018-11-01
2743.000,2018-11-01,1936-01-01,2018-11-01
2762.000,2018-11-01,1937-01-01,2018-11-01
2787.000,2018-11-01,1938-01-01,2018-11-01
2814.000,2018-11-01,1939-01-01,2018-11-01
2845.000,2018-11-01,1940-01-01,2018-11-01
2902.000,2018-11-01,1941-01-01,2018-11-01
2941.000,2018-11-01,1942-01-01,2018-11-01
2902.000,2018-11-01,1943-01-01,2018-11-01
2802.000,2018-11-01,1944-01-01,2018-11-01
2775.000,2018-11-01,1945-01-01,2018-11-01
2911.000,2018-11-01,1946-01-01,2018-11-01
2942.000,2018-11-01,1947-01-01,2018-11-01
2969.000,2018-11-01,1948-01-01,2018-11-01
3000.000,2018-11-01,1949-01-01,2018-11-01
3058.000,2018-11-01,1950-01-01,2018-11-01
3059.000,2018-11-01,1951-01-01,2018-11-01
3068.000,2018-11-01,1952-01-01,2018-11-01
3053.000,2018-11-01,1953-01-01,2018-11-01
3014.000,2018-11-01,1954-01-01,2018-11-01
3050.000,2018-11-01,1955-01-01,2018-11-01
3071.000,2018-11-01,1956-01-01,2018-11-01
3109.000,2018-11-01,1957-01-01,2018-11-01
3163.000,2018-11-01,1958-01-01,2018-11-01
3204.000,2018-11-01,1959-01-01,2018-11-01
3274.000,2018-11-01,1960-01-01,2018-11-01
3316.000,2018-11-01,1961-01-01,2018-11-01
3323.000,2018-11-01,1962-01-01,2018-11-01
3358.000,2018-11-01,1963-01-01,2018-11-01
3395.000,2018-11-01,1964-01-01,2018-11-01
3443.000,2018-11-01,1965-01-01,2018-11-01
3464.000,2018-11-01,1966-01-01,2018-11-01
3458.000,2018-11-01,1967-01-01,2018-11-01
3446.000,2018-11-01,1968-01-01,2018-11-01
3440.000,2018-11-01,1969-01-01,2018-11-01
3444.354,2018-11-01,1970-01-01,2018-11-01
3497.076,2018-11-01,1971-01-01,2018-11-01
3539.400,2018-11-01,1972-01-01,2018-11-01
3579.780,2018-11-01,1973-01-01,2018-11-01
3626.499,2018-11-01,1974-01-01,2018-11-01
3678.814,2018-11-01,1975-01-01,2018-11-01
3735.139,2018-11-01,1976-01-01,2018-11-01
3780.403,2018-11-01,1977-01-01,2018-11-01
3831.836,2018-11-01,1978-01-01,2018-11-01
3866.248,2018-11-01,1979-01-01,2018-11-01
3900.368,2018-11-01,1980-01-01,2018-11-01
3918.531,2018-11-01,1981-01-01,2018-11-01
3925.266,2018-11-01,1982-01-01,2018-11-01
3934.102,2018-11-01,1983-01-01,2018-11-01
3951.820,2018-11-01,1984-01-01,2018-11-01
3972.523,2018-11-01,1985-01-01,2018-11-01
3991.569,2018-11-01,1986-01-01,2018-11-01
4015.264,2018-11-01,1987-01-01,2018-11-01
4023.844,2018-11-01,1988-01-01,2018-11-01
4030.222,2018-11-01,1989-01-01,2018-11-01
4048.508,2018-11-01,1990-01-01,2018-11-01
4091.025,2018-11-01,1991-01-01,2018-11-01
4139.269,2018-11-01,1992-01-01,2018-11-01
4193.114,2018-11-01,1993-01-01,2018-11-01
4232.965,2018-11-01,1994-01-01,2018-11-01
4262.731,2018-11-01,1995-01-01,2018-11-01
4290.403,2018-11-01,1996-01-01,2018-11-01
4320.281,2018-11-01,1997-01-01,2018-11-01
4351.037,2018-11-01,1998-01-01,2018-11-01
4369.862,2018-11-01,1999-01-01,2018-11-01
4452.173,2018-11-01,2000-01-01,2018-11-01
4467.634,2018-11-01,2001-01-01,2018-11-01
4480.089,2018-11-01,2002-01-01,2018-11-01
4503.491,2018-11-01,2003-01-01,2018-11-01
4530.729,2018-11-01,2004-01-01,2018-11-01
4569.805,2018-11-01,2005-01-01,2018-11-01
4628.981,2018-11-01,2006-01-01,2018-11-01
4672.840,2018-11-01,2007-01-01,2018-11-01
4718.206,2018-11-01,2008-01-01,2018-11-01
4757.938,2018-11-01,2009-01-01,2018-11-01
4785.579,2018-11-01,2010-01-01,2018-11-01
4798.649,2018-11-01,2011-01-01,2018-11-01
4813.946,2018-11-01,2012-01-01,2018-11-01
4827.660,2018-11-01,2013-01-01,2018-11-01
4840.037,2018-11-01,2014-01-01,2018-11-01
4850.858,2018-11-01,2015-01-01,2018-11-01
4860.545,2018-11-01,2016-01-01,2018-11-01
4874.747,2018-11-01,2017-01-01,2018-11-01
