value,realtime_end,date,realtime_start
135.000,2018-11-01,1950-01-01,2018-11-01
158.000,2018-11-01,1951-01-01,2018-11-01
189.000,2018-11-01,1952-01-01,2018-11-01
205.000,2018-11-01,1953-01-01,2018-11-01
215.000,2018-11-01,1954-01-01,2018-11-01
222.000,2018-11-01,1955-01-01,2018-11-01
224.000,2018-11-01,1956-01-01,2018-11-01
231.000,2018-11-01,1957-01-01,2018-11-01
224.000,2018-11-01,1958-01-01,2018-11-01
224.000,2018-11-01,1959-01-01,2018-11-01
229.000,2018-11-01,1960-01-01,2018-11-01
238.000,2018-11-01,1961-01-01,2018-11-01
246.000,2018-11-01,1962-01-01,2018-11-01
256.000,2018-11-01,1963-01-01,2018-11-01
263.000,2018-11-01,1964-01-01,2018-11-01
271.000,2018-11-01,1965-01-01,2018-11-01
271.000,2018-11-01,1966-01-01,2018-11-01
278.000,2018-11-01,1967-01-01,2018-11-01
285.000,2018-11-01,1968-01-01,2018-11-01
296.000,2018-11-01,1969-01-01,2018-11-01
302.583,2018-11-01,1970-01-01,2018-11-01
315.510,2018-11-01,1971-01-01,2018-11-01
324.464,2018-11-01,1972-01-01,2018-11-01
330.543,2018-11-01,1973-01-01,2018-11-01
341.063,2018-11-01,1974-01-01,2018-11-01
376.170,2018-11-01,1975-01-01,2018-11-01
400.969,2018-11-01,1976-01-01,2018-11-01
403.436,2018-11-01,1977-01-01,2018-11-01
404.766,2018-11-01,1978-01-01,2018-11-01
402.753,2018-11-01,1979-01-01,2018-11-01
405.315,2018-11-01,1980-01-01,2018-11-01
418.491,2018-11-01,1981-01-01,2018-11-01
449.606,2018-11-01,1982-01-01,2018-11-01
488.417,2018-11-01,1983-01-01,2018-11-01
513.702,2018-11-01,1984-01-01,2018-11-01
532.495,2018-11-01,1985-01-01,2018-11-01
544.268,2018-11-01,1986-01-01,2018-11-01
539.309,2018-11-01,1987-01-01,2018-11-01
541.983,2018-11-01,1988-01-01,2018-11-01
547.159,2018-11-01,1989-01-01,2018-11-01
553.120,2018-11-01,1990-01-01,2018-11-01
569.273,2018-11-01,1991-01-01,2018-11-01
587.073,2018-11-01,1992-01-01,2018-11-01
596.993,2018-11-01,1993-01-01,2018-11-01
600.624,2018-11-01,1994-01-01,2018-11-01
601.345,2018-11-01,1995-01-01,2018-11-01
604.918,2018-11-01,1996-01-01,2018-11-01
608.846,2018-11-01,1997-01-01,2018-11-01
615.205,2018-11-01,1998-01-01,2018-11-01
619.500,2018-11-01,1999-01-01,2018-11-01
627.963,2018-11-01,2000-01-01,2018-11-01
633.714,2018-11-01,2001-01-01,2018-11-01
642.337,2018-11-01,2002-01-01,2018-11-01
648.414,2018-11-01,2003-01-01,2018-11-01
659.286,2018-11-01,2004-01-01,2018-11-01
666.946,2018-11-01,2005-01-01,2018-11-01
675.302,2018-11-01,2006-01-01,2018-11-01
680.300,2018-11-01,2007-01-01,2018-11-01
687.455,2018-11-01,2008-01-01,2018-11-01
698.895,2018-11-01,2009-01-01,2018-11-01
714.015,2018-11-01,2010-01-01,2018-11-01
722.259,2018-11-01,2011-01-01,2018-11-01
730.825,2018-11-01,2012-01-01,2018-11-01
736.760,2018-11-01,2013-01-01,2018-11-01
736.759,2018-11-01,2014-01-01,2018-11-01
737.979,2018-11-01,2015-01-01,2018-11-01
741.522,2018-11-01,2016-01-01,2018-11-01
739.795,2018-11-01,2017-01-01,2018-11-01
