value,realtime_end,date,realtime_start
1314.000,2018-11-01,1900-01-01,2018-11-01
1341.000,2018-11-01,1901-01-01,2018-11-01
1360.000,2018-11-01,1902-01-01,2018-11-01
1384.000,2018-11-01,1903-01-01,2018-11-01
1419.000,2018-11-01,1904-01-01,2018-11-01
1447.000,2018-11-01,1905-01-01,2018-11-01
1465.000,2018-11-01,1906-01-01,2018-11-01
1484.000,2018-11-01,1907-01-01,2018-11-01
1513.000,2018-11-01,1908-01-01,2018-11-01
1545.000,2018-11-01,1909-01-01,2018-11-01
1583.000,2018-11-01,1910-01-01,2018-11-01
1610.000,2018-11-01,1911-01-01,2018-11-01
1636.000,2018-11-01,1912-01-01,2018-11-01
1664.000,2018-11-01,1913-01-01,2018-11-01
1688.000,2018-11-01,1914-01-01,2018-11-01
1702.000,2018-11-01,1915-01-01,2018-11-01
1719.000,2018-11-01,1916-01-01,2018-11-01
1737.000,2018-11-01,1917-01-01,2018-11-01
1749.000,2018-11-01,1918-01-01,2018-11-01
1742.000,2018-11-01,1919-01-01,2018-11-01
1756.000,2018-11-01,1920-01-01,2018-11-01
1769.000,2018-11-01,1921-01-01,2018-11-01
1772.000,2018-11-01,1922-01-01,2018-11-01
1784.000,2018-11-01,1923-01-01,2018-11-01
1800.000,2018-11-01,1924-01-01,2018-11-01
1812.000,2018-11-01,1925-01-01,2018-11-01
1826.000,2018-11-01,1926-01-01,2018-11-01
1840.000,2018-11-01,1927-01-01,2018-11-01
1847.000,2018-11-01,1928-01-01,2018-11-01
1852.000,2018-11-01,1929-01-01,2018-11-01
1859.000,2018-11-01,1930-01-01,2018-11-01
1848.000,2018-11-01,1931-01-01,2018-11-01
1836.000,2018-11-01,1932-01-01,2018-11-01
1854.000,2018-11-01,1933-01-01,2018-11-01
1878.000,2018-11-01,1934-01-01,2018-11-01
1890.000,2018-11-01,1935-01-01,2018-11-01
1892.000,2018-11-01,1936-01-01,2018-11-01
1903.000,2018-11-01,1937-01-01,2018-11-01
1928.000,2018-11-01,1938-01-01,2018-11-01
1948.000,2018-11-01,1939-01-01,2018-11-01
1955.000,2018-11-01,1940-01-01,2018-11-01
1969.000,2018-11-01,1941-01-01,2018-11-01
1977.000,2018-11-01,1942-01-01,2018-11-01
1843.000,2018-11-01,1943-01-01,2018-11-01
1768.000,2018-11-01,1944-01-01,2018-11-01
1762.000,2018-11-01,1945-01-01,2018-11-01
1797.000,2018-11-01,1946-01-01,2018-11-01
1836.000,2018-11-01,1947-01-01,2018-11-01
1825.000,2018-11-01,1948-01-01,2018-11-01
1844.000,2018-11-01,1949-01-01,2018-11-01
1908.000,2018-11-01,1950-01-01,2018-11-01
1901.000,2018-11-01,1951-01-01,2018-11-01
1838.000,2018-11-01,1952-01-01,2018-11-01
1780.000,2018-11-01,1953-01-01,2018-11-01
1734.000,2018-11-01,1954-01-01,2018-11-01
1725.000,2018-11-01,1955-01-01,2018-11-01
1704.000,2018-11-01,1956-01-01,2018-11-01
1733.000,2018-11-01,1957-01-01,2018-11-01
1726.000,2018-11-01,1958-01-01,2018-11-01
1756.000,2018-11-01,1959-01-01,2018-11-01
1789.000,2018-11-01,1960-01-01,2018-11-01
1806.000,2018-11-01,1961-01-01,2018-11-01
1853.000,2018-11-01,1962-01-01,2018-11-01
1875.000,2018-11-01,1963-01-01,2018-11-01
1897.000,2018-11-01,1964-01-01,2018-11-01
1894.000,2018-11-01,1965-01-01,2018-11-01
1899.000,2018-11-01,1966-01-01,2018-11-01
1901.000,2018-11-01,1967-01-01,2018-11-01
1902.000,2018-11-01,1968-01-01,2018-11-01
