value,realtime_end,date,realtime_start
1490.000,2018-11-01,1900-01-01,2018-11-01
1550.000,2018-11-01,1901-01-01,2018-11-01
1623.000,2018-11-01,1902-01-01,2018-11-01
1702.000,2018-11-01,1903-01-01,2018-11-01
1792.000,2018-11-01,1904-01-01,2018-11-01
1893.000,2018-11-01,1905-01-01,2018-11-01
1976.000,2018-11-01,1906-01-01,2018-11-01
2054.000,2018-11-01,1907-01-01,2018-11-01
2161.000,2018-11-01,1908-01-01,2018-11-01
2282.000,2018-11-01,1909-01-01,2018-11-01
2406.000,2018-11-01,1910-01-01,2018-11-01
2534.000,2018-11-01,1911-01-01,2018-11-01
2668.000,2018-11-01,1912-01-01,2018-11-01
2811.000,2018-11-01,1913-01-01,2018-11-01
2934.000,2018-11-01,1914-01-01,2018-11-01
3008.000,2018-11-01,1915-01-01,2018-11-01
3071.000,2018-11-01,1916-01-01,2018-11-01
3171.000,2018-11-01,1917-01-01,2018-11-01
3262.000,2018-11-01,1918-01-01,2018-11-01
3339.000,2018-11-01,1919-01-01,2018-11-01
3554.000,2018-11-01,1920-01-01,2018-11-01
3795.000,2018-11-01,1921-01-01,2018-11-01
3991.000,2018-11-01,1922-01-01,2018-11-01
4270.000,2018-11-01,1923-01-01,2018-11-01
4541.000,2018-11-01,1924-01-01,2018-11-01
4730.000,2018-11-01,1925-01-01,2018-11-01
4929.000,2018-11-01,1926-01-01,2018-11-01
5147.000,2018-11-01,1927-01-01,2018-11-01
5344.000,2018-11-01,1928-01-01,2018-11-01
5531.000,2018-11-01,1929-01-01,2018-11-01
5711.000,2018-11-01,1930-01-01,2018-11-01
5824.000,2018-11-01,1931-01-01,2018-11-01
5894.000,2018-11-01,1932-01-01,2018-11-01
5963.000,2018-11-01,1933-01-01,2018-11-01
6060.000,2018-11-01,1934-01-01,2018-11-01
6175.000,2018-11-01,1935-01-01,2018-11-01
6341.000,2018-11-01,1936-01-01,2018-11-01
6528.000,2018-11-01,1937-01-01,2018-11-01
6656.000,2018-11-01,1938-01-01,2018-11-01
6785.000,2018-11-01,1939-01-01,2018-11-01
6950.000,2018-11-01,1940-01-01,2018-11-01
7237.000,2018-11-01,1941-01-01,2018-11-01
7735.000,2018-11-01,1942-01-01,2018-11-01
8506.000,2018-11-01,1943-01-01,2018-11-01
8945.000,2018-11-01,1944-01-01,2018-11-01
9344.000,2018-11-01,1945-01-01,2018-11-01
