value,realtime_end,date,realtime_start
543.000,2018-11-01,1900-01-01,2018-11-01
581.000,2018-11-01,1901-01-01,2018-11-01
621.000,2018-11-01,1902-01-01,2018-11-01
652.000,2018-11-01,1903-01-01,2018-11-01
659.000,2018-11-01,1904-01-01,2018-11-01
680.000,2018-11-01,1905-01-01,2018-11-01
707.000,2018-11-01,1906-01-01,2018-11-01
733.000,2018-11-01,1907-01-01,2018-11-01
757.000,2018-11-01,1908-01-01,2018-11-01
775.000,2018-11-01,1909-01-01,2018-11-01
804.000,2018-11-01,1910-01-01,2018-11-01
821.000,2018-11-01,1911-01-01,2018-11-01
832.000,2018-11-01,1912-01-01,2018-11-01
835.000,2018-11-01,1913-01-01,2018-11-01
846.000,2018-11-01,1914-01-01,2018-11-01
868.000,2018-11-01,1915-01-01,2018-11-01
892.000,2018-11-01,1916-01-01,2018-11-01
910.000,2018-11-01,1917-01-01,2018-11-01
906.000,2018-11-01,1918-01-01,2018-11-01
938.000,2018-11-01,1919-01-01,2018-11-01
937.000,2018-11-01,1920-01-01,2018-11-01
961.000,2018-11-01,1921-01-01,2018-11-01
965.000,2018-11-01,1922-01-01,2018-11-01
984.000,2018-11-01,1923-01-01,2018-11-01
1014.000,2018-11-01,1924-01-01,2018-11-01
1019.000,2018-11-01,1925-01-01,2018-11-01
1016.000,2018-11-01,1926-01-01,2018-11-01
1028.000,2018-11-01,1927-01-01,2018-11-01
1014.000,2018-11-01,1928-01-01,2018-11-01
1008.000,2018-11-01,1929-01-01,2018-11-01
1040.000,2018-11-01,1930-01-01,2018-11-01
1056.000,2018-11-01,1931-01-01,2018-11-01
1066.000,2018-11-01,1932-01-01,2018-11-01
1071.000,2018-11-01,1933-01-01,2018-11-01
1075.000,2018-11-01,1934-01-01,2018-11-01
1078.000,2018-11-01,1935-01-01,2018-11-01
1090.000,2018-11-01,1936-01-01,2018-11-01
1104.000,2018-11-01,1937-01-01,2018-11-01
1112.000,2018-11-01,1938-01-01,2018-11-01
1120.000,2018-11-01,1939-01-01,2018-11-01
1130.000,2018-11-01,1940-01-01,2018-11-01
1124.000,2018-11-01,1941-01-01,2018-11-01
1113.000,2018-11-01,1942-01-01,2018-11-01
1153.000,2018-11-01,1943-01-01,2018-11-01
1137.000,2018-11-01,1944-01-01,2018-11-01
1116.000,2018-11-01,1945-01-01,2018-11-01
1203.000,2018-11-01,1946-01-01,2018-11-01
1237.000,2018-11-01,1947-01-01,2018-11-01
1263.000,2018-11-01,1948-01-01,2018-11-01
1295.000,2018-11-01,1949-01-01,2018-11-01
1325.000,2018-11-01,1950-01-01,2018-11-01
1326.000,2018-11-01,1951-01-01,2018-11-01
1365.000,2018-11-01,1952-01-01,2018-11-01
1431.000,2018-11-01,1953-01-01,2018-11-01
1493.000,2018-11-01,1954-01-01,2018-11-01
1546.000,2018-11-01,1955-01-01,2018-11-01
1625.000,2018-11-01,1956-01-01,2018-11-01
1664.000,2018-11-01,1957-01-01,2018-11-01
1667.000,2018-11-01,1958-01-01,2018-11-01
1710.000,2018-11-01,1959-01-01,2018-11-01
1769.000,2018-11-01,1960-01-01,2018-11-01
1844.000,2018-11-01,1961-01-01,2018-11-01
1899.000,2018-11-01,1962-01-01,2018-11-01
1936.000,2018-11-01,1963-01-01,2018-11-01
1970.000,2018-11-01,1964-01-01,2018-11-01
1985.000,2018-11-01,1965-01-01,2018-11-01
