value,realtime_end,date,realtime_start
910.000,2018-11-01,1900-01-01,2018-11-01
931.000,2018-11-01,1901-01-01,2018-11-01
952.000,2018-11-01,1902-01-01,2018-11-01
972.000,2018-11-01,1903-01-01,2018-11-01
987.000,2018-11-01,1904-01-01,2018-11-01
1010.000,2018-11-01,1905-01-01,2018-11-01
1033.000,2018-11-01,1906-01-01,2018-11-01
1057.000,2018-11-01,1907-01-01,2018-11-01
1077.000,2018-11-01,1908-01-01,2018-11-01
1097.000,2018-11-01,1909-01-01,2018-11-01
1122.000,2018-11-01,1910-01-01,2018-11-01
1149.000,2018-11-01,1911-01-01,2018-11-01
1176.000,2018-11-01,1912-01-01,2018-11-01
1208.000,2018-11-01,1913-01-01,2018-11-01
1233.000,2018-11-01,1914-01-01,2018-11-01
1258.000,2018-11-01,1915-01-01,2018-11-01
1294.000,2018-11-01,1916-01-01,2018-11-01
1327.000,2018-11-01,1917-01-01,2018-11-01
1329.000,2018-11-01,1918-01-01,2018-11-01
1359.000,2018-11-01,1919-01-01,2018-11-01
1391.000,2018-11-01,1920-01-01,2018-11-01
1415.000,2018-11-01,1921-01-01,2018-11-01
1431.000,2018-11-01,1922-01-01,2018-11-01
1455.000,2018-11-01,1923-01-01,2018-11-01
1481.000,2018-11-01,1924-01-01,2018-11-01
1506.000,2018-11-01,1925-01-01,2018-11-01
1531.000,2018-11-01,1926-01-01,2018-11-01
1557.000,2018-11-01,1927-01-01,2018-11-01
1577.000,2018-11-01,1928-01-01,2018-11-01
1594.000,2018-11-01,1929-01-01,2018-11-01
1613.000,2018-11-01,1930-01-01,2018-11-01
1628.000,2018-11-01,1931-01-01,2018-11-01
1637.000,2018-11-01,1932-01-01,2018-11-01
1642.000,2018-11-01,1933-01-01,2018-11-01
1650.000,2018-11-01,1934-01-01,2018-11-01
1666.000,2018-11-01,1935-01-01,2018-11-01
1672.000,2018-11-01,1936-01-01,2018-11-01
1678.000,2018-11-01,1937-01-01,2018-11-01
1684.000,2018-11-01,1938-01-01,2018-11-01
1696.000,2018-11-01,1939-01-01,2018-11-01
1708.000,2018-11-01,1940-01-01,2018-11-01
1746.000,2018-11-01,1941-01-01,2018-11-01
1792.000,2018-11-01,1942-01-01,2018-11-01
1792.000,2018-11-01,1943-01-01,2018-11-01
1778.000,2018-11-01,1944-01-01,2018-11-01
1769.000,2018-11-01,1945-01-01,2018-11-01
1906.000,2018-11-01,1946-01-01,2018-11-01
1967.000,2018-11-01,1947-01-01,2018-11-01
2014.000,2018-11-01,1948-01-01,2018-11-01
2032.000,2018-11-01,1949-01-01,2018-11-01
2016.000,2018-11-01,1950-01-01,2018-11-01
2028.000,2018-11-01,1951-01-01,2018-11-01
2081.000,2018-11-01,1952-01-01,2018-11-01
2168.000,2018-11-01,1953-01-01,2018-11-01
2249.000,2018-11-01,1954-01-01,2018-11-01
2300.000,2018-11-01,1955-01-01,2018-11-01
2316.000,2018-11-01,1956-01-01,2018-11-01
2359.000,2018-11-01,1957-01-01,2018-11-01
2446.000,2018-11-01,1958-01-01,2018-11-01
2523.000,2018-11-01,1959-01-01,2018-11-01
2544.000,2018-11-01,1960-01-01,2018-11-01
2586.000,2018-11-01,1961-01-01,2018-11-01
2647.000,2018-11-01,1962-01-01,2018-11-01
2727.000,2018-11-01,1963-01-01,2018-11-01
2798.000,2018-11-01,1964-01-01,2018-11-01
2857.000,2018-11-01,1965-01-01,2018-11-01
2903.000,2018-11-01,1966-01-01,2018-11-01
2935.000,2018-11-01,1967-01-01,2018-11-01
2964.000,2018-11-01,1968-01-01,2018-11-01
3000.000,2018-11-01,1969-01-01,2018-11-01
3032.217,2018-11-01,1970-01-01,2018-11-01
3060.938,2018-11-01,1971-01-01,2018-11-01
3068.699,2018-11-01,1972-01-01,2018-11-01
3067.814,2018-11-01,1973-01-01,2018-11-01
3074.047,2018-11-01,1974-01-01,2018-11-01
3082.500,2018-11-01,1975-01-01,2018-11-01
3083.335,2018-11-01,1976-01-01,2018-11-01
3085.722,2018-11-01,1977-01-01,2018-11-01
3091.627,2018-11-01,1978-01-01,2018-11-01
3095.917,2018-11-01,1979-01-01,2018-11-01
3113.174,2018-11-01,1980-01-01,2018-11-01
3128.836,2018-11-01,1981-01-01,2018-11-01
3139.013,2018-11-01,1982-01-01,2018-11-01
3162.354,2018-11-01,1983-01-01,2018-11-01
3180.014,2018-11-01,1984-01-01,2018-11-01
3201.131,2018-11-01,1985-01-01,2018-11-01
3223.740,2018-11-01,1986-01-01,2018-11-01
3247.291,2018-11-01,1987-01-01,2018-11-01
3271.953,2018-11-01,1988-01-01,2018-11-01
3283.403,2018-11-01,1989-01-01,2018-11-01
