value,realtime_end,date,realtime_start
530.000,2018-11-01,1900-01-01,2018-11-01
544.000,2018-11-01,1901-01-01,2018-11-01
565.000,2018-11-01,1902-01-01,2018-11-01
587.000,2018-11-01,1903-01-01,2018-11-01
599.000,2018-11-01,1904-01-01,2018-11-01
615.000,2018-11-01,1905-01-01,2018-11-01
628.000,2018-11-01,1906-01-01,2018-11-01
645.000,2018-11-01,1907-01-01,2018-11-01
684.000,2018-11-01,1908-01-01,2018-11-01
724.000,2018-11-01,1909-01-01,2018-11-01
756.000,2018-11-01,1910-01-01,2018-11-01
773.000,2018-11-01,1911-01-01,2018-11-01
801.000,2018-11-01,1912-01-01,2018-11-01
828.000,2018-11-01,1913-01-01,2018-11-01
871.000,2018-11-01,1914-01-01,2018-11-01
922.000,2018-11-01,1915-01-01,2018-11-01
924.000,2018-11-01,1916-01-01,2018-11-01
895.000,2018-11-01,1917-01-01,2018-11-01
865.000,2018-11-01,1918-01-01,2018-11-01
898.000,2018-11-01,1919-01-01,2018-11-01
962.000,2018-11-01,1920-01-01,2018-11-01
997.000,2018-11-01,1921-01-01,2018-11-01
1044.000,2018-11-01,1922-01-01,2018-11-01
1097.000,2018-11-01,1923-01-01,2018-11-01
1160.000,2018-11-01,1924-01-01,2018-11-01
1264.000,2018-11-01,1925-01-01,2018-11-01
1368.000,2018-11-01,1926-01-01,2018-11-01
1418.000,2018-11-01,1927-01-01,2018-11-01
1433.000,2018-11-01,1928-01-01,2018-11-01
1445.000,2018-11-01,1929-01-01,2018-11-01
1471.000,2018-11-01,1930-01-01,2018-11-01
1493.000,2018-11-01,1931-01-01,2018-11-01
1521.000,2018-11-01,1932-01-01,2018-11-01
1552.000,2018-11-01,1933-01-01,2018-11-01
1585.000,2018-11-01,1934-01-01,2018-11-01
1613.000,2018-11-01,1935-01-01,2018-11-01
1651.000,2018-11-01,1936-01-01,2018-11-01
1709.000,2018-11-01,1937-01-01,2018-11-01
1771.000,2018-11-01,1938-01-01,2018-11-01
1836.000,2018-11-01,1939-01-01,2018-11-01
1915.000,2018-11-01,1940-01-01,2018-11-01
2017.000,2018-11-01,1941-01-01,2018-11-01
2151.000,2018-11-01,1942-01-01,2018-11-01
2451.000,2018-11-01,1943-01-01,2018-11-01
2420.000,2018-11-01,1944-01-01,2018-11-01
2465.000,2018-11-01,1945-01-01,2018-11-01
2440.000,2018-11-01,1946-01-01,2018-11-01
2528.000,2018-11-01,1947-01-01,2018-11-01
2578.000,2018-11-01,1948-01-01,2018-11-01
2668.000,2018-11-01,1949-01-01,2018-11-01
2810.000,2018-11-01,1950-01-01,2018-11-01
2980.000,2018-11-01,1951-01-01,2018-11-01
3157.000,2018-11-01,1952-01-01,2018-11-01
3310.000,2018-11-01,1953-01-01,2018-11-01
3505.000,2018-11-01,1954-01-01,2018-11-01
3747.000,2018-11-01,1955-01-01,2018-11-01
4047.000,2018-11-01,1956-01-01,2018-11-01
4372.000,2018-11-01,1957-01-01,2018-11-01
4630.000,2018-11-01,1958-01-01,2018-11-01
4808.000,2018-11-01,1959-01-01,2018-11-01
5004.000,2018-11-01,1960-01-01,2018-11-01
5243.000,2018-11-01,1961-01-01,2018-11-01
5458.000,2018-11-01,1962-01-01,2018-11-01
5628.000,2018-11-01,1963-01-01,2018-11-01
5781.000,2018-11-01,1964-01-01,2018-11-01
5954.000,2018-11-01,1965-01-01,2018-11-01
6104.000,2018-11-01,1966-01-01,2018-11-01
6242.000,2018-11-01,1967-01-01,2018-11-01
6433.000,2018-11-01,1968-01-01,2018-11-01
6641.000,2018-11-01,1969-01-01,2018-11-01
6791.418,2018-11-01,1970-01-01,2018-11-01
