value,realtime_end,date,realtime_start
2220.000,2018-11-01,1900-01-01,2018-11-01
2263.000,2018-11-01,1901-01-01,2018-11-01
2305.000,2018-11-01,1902-01-01,2018-11-01
2346.000,2018-11-01,1903-01-01,2018-11-01
2387.000,2018-11-01,1904-01-01,2018-11-01
2427.000,2018-11-01,1905-01-01,2018-11-01
2466.000,2018-11-01,1906-01-01,2018-11-01
2505.000,2018-11-01,1907-01-01,2018-11-01
2543.000,2018-11-01,1908-01-01,2018-11-01
2580.000,2018-11-01,1909-01-01,2018-11-01
2618.000,2018-11-01,1910-01-01,2018-11-01
2644.000,2018-11-01,1911-01-01,2018-11-01
2676.000,2018-11-01,1912-01-01,2018-11-01
2733.000,2018-11-01,1913-01-01,2018-11-01
2776.000,2018-11-01,1914-01-01,2018-11-01
2810.000,2018-11-01,1915-01-01,2018-11-01
2856.000,2018-11-01,1916-01-01,2018-11-01
2885.000,2018-11-01,1917-01-01,2018-11-01
2941.000,2018-11-01,1918-01-01,2018-11-01
2870.000,2018-11-01,1919-01-01,2018-11-01
2926.000,2018-11-01,1920-01-01,2018-11-01
2965.000,2018-11-01,1921-01-01,2018-11-01
2965.000,2018-11-01,1922-01-01,2018-11-01
2954.000,2018-11-01,1923-01-01,2018-11-01
2920.000,2018-11-01,1924-01-01,2018-11-01
2883.000,2018-11-01,1925-01-01,2018-11-01
2869.000,2018-11-01,1926-01-01,2018-11-01
2891.000,2018-11-01,1927-01-01,2018-11-01
2903.000,2018-11-01,1928-01-01,2018-11-01
2903.000,2018-11-01,1929-01-01,2018-11-01
2910.000,2018-11-01,1930-01-01,2018-11-01
2924.000,2018-11-01,1931-01-01,2018-11-01
2935.000,2018-11-01,1932-01-01,2018-11-01
2950.000,2018-11-01,1933-01-01,2018-11-01
2964.000,2018-11-01,1934-01-01,2018-11-01
2955.000,2018-11-01,1935-01-01,2018-11-01
2978.000,2018-11-01,1936-01-01,2018-11-01
3037.000,2018-11-01,1937-01-01,2018-11-01
3091.000,2018-11-01,1938-01-01,2018-11-01
3120.000,2018-11-01,1939-01-01,2018-11-01
3119.000,2018-11-01,1940-01-01,2018-11-01
3179.000,2018-11-01,1941-01-01,2018-11-01
3209.000,2018-11-01,1942-01-01,2018-11-01
3245.000,2018-11-01,1943-01-01,2018-11-01
3176.000,2018-11-01,1944-01-01,2018-11-01
