value,realtime_end,date,realtime_start
498.000,2018-11-01,1950-01-01,2018-11-01
514.000,2018-11-01,1951-01-01,2018-11-01
517.000,2018-11-01,1952-01-01,2018-11-01
510.000,2018-11-01,1953-01-01,2018-11-01
505.000,2018-11-01,1954-01-01,2018-11-01
539.000,2018-11-01,1955-01-01,2018-11-01
559.000,2018-11-01,1956-01-01,2018-11-01
584.000,2018-11-01,1957-01-01,2018-11-01
605.000,2018-11-01,1958-01-01,2018-11-01
622.000,2018-11-01,1959-01-01,2018-11-01
642.000,2018-11-01,1960-01-01,2018-11-01
659.000,2018-11-01,1961-01-01,2018-11-01
684.000,2018-11-01,1962-01-01,2018-11-01
682.000,2018-11-01,1963-01-01,2018-11-01
700.000,2018-11-01,1964-01-01,2018-11-01
704.000,2018-11-01,1965-01-01,2018-11-01
710.000,2018-11-01,1966-01-01,2018-11-01
723.000,2018-11-01,1967-01-01,2018-11-01
734.000,2018-11-01,1968-01-01,2018-11-01
750.000,2018-11-01,1969-01-01,2018-11-01
769.913,2018-11-01,1970-01-01,2018-11-01
801.644,2018-11-01,1971-01-01,2018-11-01
828.331,2018-11-01,1972-01-01,2018-11-01
851.595,2018-11-01,1973-01-01,2018-11-01
867.978,2018-11-01,1974-01-01,2018-11-01
886.160,2018-11-01,1975-01-01,2018-11-01
904.191,2018-11-01,1976-01-01,2018-11-01
918.259,2018-11-01,1977-01-01,2018-11-01
931.584,2018-11-01,1978-01-01,2018-11-01
953.306,2018-11-01,1979-01-01,2018-11-01
967.710,2018-11-01,1980-01-01,2018-11-01
978.195,2018-11-01,1981-01-01,2018-11-01
993.780,2018-11-01,1982-01-01,2018-11-01
1012.717,2018-11-01,1983-01-01,2018-11-01
1027.922,2018-11-01,1984-01-01,2018-11-01
1039.698,2018-11-01,1985-01-01,2018-11-01
1051.762,2018-11-01,1986-01-01,2018-11-01
1067.918,2018-11-01,1987-01-01,2018-11-01
1079.828,2018-11-01,1988-01-01,2018-11-01
1094.588,2018-11-01,1989-01-01,2018-11-01
1112.703,2018-11-01,1990-01-01,2018-11-01
1131.412,2018-11-01,1991-01-01,2018-11-01
1149.926,2018-11-01,1992-01-01,2018-11-01
1161.508,2018-11-01,1993-01-01,2018-11-01
1173.903,2018-11-01,1994-01-01,2018-11-01
1180.490,2018-11-01,1995-01-01,2018-11-01
1184.434,2018-11-01,1996-01-01,2018-11-01
1189.322,2018-11-01,1997-01-01,2018-11-01
1190.472,2018-11-01,1998-01-01,2018-11-01
1185.497,2018-11-01,1999-01-01,2018-11-01
1213.519,2018-11-01,2000-01-01,2018-11-01
1225.948,2018-11-01,2001-01-01,2018-11-01
1239.613,2018-11-01,2002-01-01,2018-11-01
1251.154,2018-11-01,2003-01-01,2018-11-01
1273.569,2018-11-01,2004-01-01,2018-11-01
1292.729,2018-11-01,2005-01-01,2018-11-01
1309.731,2018-11-01,2006-01-01,2018-11-01
1315.675,2018-11-01,2007-01-01,2018-11-01
1332.213,2018-11-01,2008-01-01,2018-11-01
1346.717,2018-11-01,2009-01-01,2018-11-01
1363.817,2018-11-01,2010-01-01,2018-11-01
1378.323,2018-11-01,2011-01-01,2018-11-01
1392.772,2018-11-01,2012-01-01,2018-11-01
1408.038,2018-11-01,2013-01-01,2018-11-01
1417.710,2018-11-01,2014-01-01,2018-11-01
1426.320,2018-11-01,2015-01-01,2018-11-01
1428.683,2018-11-01,2016-01-01,2018-11-01
1427.538,2018-11-01,2017-01-01,2018-11-01
