value,realtime_end,date,realtime_start
4828.000,2018-11-01,1900-01-01,2018-11-01
4914.000,2018-11-01,1901-01-01,2018-11-01
4992.000,2018-11-01,1902-01-01,2018-11-01
5071.000,2018-11-01,1903-01-01,2018-11-01
5161.000,2018-11-01,1904-01-01,2018-11-01
5241.000,2018-11-01,1905-01-01,2018-11-01
5309.000,2018-11-01,1906-01-01,2018-11-01
5384.000,2018-11-01,1907-01-01,2018-11-01
5474.000,2018-11-01,1908-01-01,2018-11-01
5567.000,2018-11-01,1909-01-01,2018-11-01
5668.000,2018-11-01,1910-01-01,2018-11-01
5757.000,2018-11-01,1911-01-01,2018-11-01
5828.000,2018-11-01,1912-01-01,2018-11-01
5961.000,2018-11-01,1913-01-01,2018-11-01
6109.000,2018-11-01,1914-01-01,2018-11-01
6194.000,2018-11-01,1915-01-01,2018-11-01
6274.000,2018-11-01,1916-01-01,2018-11-01
6313.000,2018-11-01,1917-01-01,2018-11-01
6275.000,2018-11-01,1918-01-01,2018-11-01
6392.000,2018-11-01,1919-01-01,2018-11-01
6663.000,2018-11-01,1920-01-01,2018-11-01
6858.000,2018-11-01,1921-01-01,2018-11-01
6958.000,2018-11-01,1922-01-01,2018-11-01
7068.000,2018-11-01,1923-01-01,2018-11-01
7215.000,2018-11-01,1924-01-01,2018-11-01
7306.000,2018-11-01,1925-01-01,2018-11-01
7395.000,2018-11-01,1926-01-01,2018-11-01
7519.000,2018-11-01,1927-01-01,2018-11-01
7576.000,2018-11-01,1928-01-01,2018-11-01
7606.000,2018-11-01,1929-01-01,2018-11-01
7644.000,2018-11-01,1930-01-01,2018-11-01
7687.000,2018-11-01,1931-01-01,2018-11-01
7736.000,2018-11-01,1932-01-01,2018-11-01
7768.000,2018-11-01,1933-01-01,2018-11-01
7772.000,2018-11-01,1934-01-01,2018-11-01
7797.000,2018-11-01,1935-01-01,2018-11-01
7840.000,2018-11-01,1936-01-01,2018-11-01
7857.000,2018-11-01,1937-01-01,2018-11-01
7866.000,2018-11-01,1938-01-01,2018-11-01
7890.000,2018-11-01,1939-01-01,2018-11-01
7905.000,2018-11-01,1940-01-01,2018-11-01
7995.000,2018-11-01,1941-01-01,2018-11-01
8057.000,2018-11-01,1942-01-01,2018-11-01
7761.000,2018-11-01,1943-01-01,2018-11-01
7719.000,2018-11-01,1944-01-01,2018-11-01
7601.000,2018-11-01,1945-01-01,2018-11-01
8155.000,2018-11-01,1946-01-01,2018-11-01
8341.000,2018-11-01,1947-01-01,2018-11-01
8552.000,2018-11-01,1948-01-01,2018-11-01
8670.000,2018-11-01,1949-01-01,2018-11-01
8738.000,2018-11-01,1950-01-01,2018-11-01
8790.000,2018-11-01,1951-01-01,2018-11-01
8956.000,2018-11-01,1952-01-01,2018-11-01
9065.000,2018-11-01,1953-01-01,2018-11-01
9252.000,2018-11-01,1954-01-01,2018-11-01
9435.000,2018-11-01,1955-01-01,2018-11-01
9530.000,2018-11-01,1956-01-01,2018-11-01
9668.000,2018-11-01,1957-01-01,2018-11-01
9886.000,2018-11-01,1958-01-01,2018-11-01
9986.000,2018-11-01,1959-01-01,2018-11-01
10086.000,2018-11-01,1960-01-01,2018-11-01
10130.000,2018-11-01,1961-01-01,2018-11-01
10280.000,2018-11-01,1962-01-01,2018-11-01
10402.000,2018-11-01,1963-01-01,2018-11-01
10580.000,2018-11-01,1964-01-01,2018-11-01
10693.000,2018-11-01,1965-01-01,2018-11-01
10836.000,2018-11-01,1966-01-01,2018-11-01
10947.000,2018-11-01,1967-01-01,2018-11-01
10995.000,2018-11-01,1968-01-01,2018-11-01
11039.000,2018-11-01,1969-01-01,2018-11-01
11110.285,2018-11-01,1970-01-01,2018-11-01
11202.397,2018-11-01,1971-01-01,2018-11-01
11251.948,2018-11-01,1972-01-01,2018-11-01
11251.367,2018-11-01,1973-01-01,2018-11-01
11262.145,2018-11-01,1974-01-01,2018-11-01
11291.743,2018-11-01,1975-01-01,2018-11-01
11342.853,2018-11-01,1976-01-01,2018-11-01
11386.316,2018-11-01,1977-01-01,2018-11-01
11412.561,2018-11-01,1978-01-01,2018-11-01
11396.837,2018-11-01,1979-01-01,2018-11-01
11434.702,2018-11-01,1980-01-01,2018-11-01
11443.458,2018-11-01,1981-01-01,2018-11-01
11423.412,2018-11-01,1982-01-01,2018-11-01
11408.818,2018-11-01,1983-01-01,2018-11-01
11412.132,2018-11-01,1984-01-01,2018-11-01
11399.806,2018-11-01,1985-01-01,2018-11-01
11387.257,2018-11-01,1986-01-01,2018-11-01
11391.178,2018-11-01,1987-01-01,2018-11-01
11390.183,2018-11-01,1988-01-01,2018-11-01
11409.782,2018-11-01,1989-01-01,2018-11-01
11446.979,2018-11-01,1990-01-01,2018-11-01
11535.973,2018-11-01,1991-01-01,2018-11-01
11635.197,2018-11-01,1992-01-01,2018-11-01
11725.984,2018-11-01,1993-01-01,2018-11-01
11804.986,2018-11-01,1994-01-01,2018-11-01
11884.935,2018-11-01,1995-01-01,2018-11-01
11953.003,2018-11-01,1996-01-01,2018-11-01
12011.509,2018-11-01,1997-01-01,2018-11-01
12069.774,2018-11-01,1998-01-01,2018-11-01
12128.370,2018-11-01,1999-01-01,2018-11-01
12434.161,2018-11-01,2000-01-01,2018-11-01
12488.445,2018-11-01,2001-01-01,2018-11-01
12525.556,2018-11-01,2002-01-01,2018-11-01
12556.006,2018-11-01,2003-01-01,2018-11-01
12589.773,2018-11-01,2004-01-01,2018-11-01
12609.903,2018-11-01,2005-01-01,2018-11-01
12643.955,2018-11-01,2006-01-01,2018-11-01
12695.866,2018-11-01,2007-01-01,2018-11-01
12747.038,2018-11-01,2008-01-01,2018-11-01
12796.778,2018-11-01,2009-01-01,2018-11-01
12841.196,2018-11-01,2010-01-01,2018-11-01
12862.298,2018-11-01,2011-01-01,2018-11-01
