value,realtime_end,date,realtime_start
2518.000,2018-11-01,1900-01-01,2018-11-01
2541.000,2018-11-01,1901-01-01,2018-11-01
2567.000,2018-11-01,1902-01-01,2018-11-01
2594.000,2018-11-01,1903-01-01,2018-11-01
2614.000,2018-11-01,1904-01-01,2018-11-01
2635.000,2018-11-01,1905-01-01,2018-11-01
2663.000,2018-11-01,1906-01-01,2018-11-01
2679.000,2018-11-01,1907-01-01,2018-11-01
2677.000,2018-11-01,1908-01-01,2018-11-01
2678.000,2018-11-01,1909-01-01,2018-11-01
2713.000,2018-11-01,1910-01-01,2018-11-01
2751.000,2018-11-01,1911-01-01,2018-11-01
2785.000,2018-11-01,1912-01-01,2018-11-01
2824.000,2018-11-01,1913-01-01,2018-11-01
2857.000,2018-11-01,1914-01-01,2018-11-01
2873.000,2018-11-01,1915-01-01,2018-11-01
2897.000,2018-11-01,1916-01-01,2018-11-01
2910.000,2018-11-01,1917-01-01,2018-11-01
2880.000,2018-11-01,1918-01-01,2018-11-01
2906.000,2018-11-01,1919-01-01,2018-11-01
2947.000,2018-11-01,1920-01-01,2018-11-01
2976.000,2018-11-01,1921-01-01,2018-11-01
2965.000,2018-11-01,1922-01-01,2018-11-01
3042.000,2018-11-01,1923-01-01,2018-11-01
3086.000,2018-11-01,1924-01-01,2018-11-01
3119.000,2018-11-01,1925-01-01,2018-11-01
3148.000,2018-11-01,1926-01-01,2018-11-01
3191.000,2018-11-01,1927-01-01,2018-11-01
3212.000,2018-11-01,1928-01-01,2018-11-01
3226.000,2018-11-01,1929-01-01,2018-11-01
3242.000,2018-11-01,1930-01-01,2018-11-01
3257.000,2018-11-01,1931-01-01,2018-11-01
3281.000,2018-11-01,1932-01-01,2018-11-01
3304.000,2018-11-01,1933-01-01,2018-11-01
3319.000,2018-11-01,1934-01-01,2018-11-01
3332.000,2018-11-01,1935-01-01,2018-11-01
3348.000,2018-11-01,1936-01-01,2018-11-01
3374.000,2018-11-01,1937-01-01,2018-11-01
3386.000,2018-11-01,1938-01-01,2018-11-01
3403.000,2018-11-01,1939-01-01,2018-11-01
3433.000,2018-11-01,1940-01-01,2018-11-01
3483.000,2018-11-01,1941-01-01,2018-11-01
3507.000,2018-11-01,1942-01-01,2018-11-01
3449.000,2018-11-01,1943-01-01,2018-11-01
3440.000,2018-11-01,1944-01-01,2018-11-01
3427.000,2018-11-01,1945-01-01,2018-11-01
3702.000,2018-11-01,1946-01-01,2018-11-01
3779.000,2018-11-01,1947-01-01,2018-11-01
3877.000,2018-11-01,1948-01-01,2018-11-01
3958.000,2018-11-01,1949-01-01,2018-11-01
3967.000,2018-11-01,1950-01-01,2018-11-01
4096.000,2018-11-01,1951-01-01,2018-11-01
4148.000,2018-11-01,1952-01-01,2018-11-01
4182.000,2018-11-01,1953-01-01,2018-11-01
4264.000,2018-11-01,1954-01-01,2018-11-01
4363.000,2018-11-01,1955-01-01,2018-11-01
4458.000,2018-11-01,1956-01-01,2018-11-01
4529.000,2018-11-01,1957-01-01,2018-11-01
4583.000,2018-11-01,1958-01-01,2018-11-01
4613.000,2018-11-01,1959-01-01,2018-11-01
4674.000,2018-11-01,1960-01-01,2018-11-01
4730.000,2018-11-01,1961-01-01,2018-11-01
4736.000,2018-11-01,1962-01-01,2018-11-01
4799.000,2018-11-01,1963-01-01,2018-11-01
4856.000,2018-11-01,1964-01-01,2018-11-01
4922.000,2018-11-01,1965-01-01,2018-11-01
4999.000,2018-11-01,1966-01-01,2018-11-01
5053.000,2018-11-01,1967-01-01,2018-11-01
5093.000,2018-11-01,1968-01-01,2018-11-01
5143.000,2018-11-01,1969-01-01,2018-11-01
5195.392,2018-11-01,1970-01-01,2018-11-01
5253.396,2018-11-01,1971-01-01,2018-11-01
5302.435,2018-11-01,1972-01-01,2018-11-01
5338.277,2018-11-01,1973-01-01,2018-11-01
5361.890,2018-11-01,1974-01-01,2018-11-01
5365.766,2018-11-01,1975-01-01,2018-11-01
5389.088,2018-11-01,1976-01-01,2018-11-01
5425.638,2018-11-01,1977-01-01,2018-11-01
5470.214,2018-11-01,1978-01-01,2018-11-01
5501.174,2018-11-01,1979-01-01,2018-11-01
5490.721,2018-11-01,1980-01-01,2018-11-01
5480.435,2018-11-01,1981-01-01,2018-11-01
5467.922,2018-11-01,1982-01-01,2018-11-01
5450.395,2018-11-01,1983-01-01,2018-11-01
5458.322,2018-11-01,1984-01-01,2018-11-01
5459.211,2018-11-01,1985-01-01,2018-11-01
5454.108,2018-11-01,1986-01-01,2018-11-01
5473.012,2018-11-01,1987-01-01,2018-11-01
5491.735,2018-11-01,1988-01-01,2018-11-01
5523.693,2018-11-01,1989-01-01,2018-11-01
5555.097,2018-11-01,1990-01-01,2018-11-01
5602.062,2018-11-01,1991-01-01,2018-11-01
5648.649,2018-11-01,1992-01-01,2018-11-01
5701.965,2018-11-01,1993-01-01,2018-11-01
5745.626,2018-11-01,1994-01-01,2018-11-01
5791.819,2018-11-01,1995-01-01,2018-11-01
5834.908,2018-11-01,1996-01-01,2018-11-01
5872.370,2018-11-01,1997-01-01,2018-11-01
5907.617,2018-11-01,1998-01-01,2018-11-01
5942.901,2018-11-01,1999-01-01,2018-11-01
6091.866,2018-11-01,2000-01-01,2018-11-01
6127.760,2018-11-01,2001-01-01,2018-11-01
6155.967,2018-11-01,2002-01-01,2018-11-01
