value,realtime_end,date,realtime_start
2231.000,2018-11-01,1900-01-01,2018-11-01
2227.000,2018-11-01,1901-01-01,2018-11-01
2222.000,2018-11-01,1902-01-01,2018-11-01
2217.000,2018-11-01,1903-01-01,2018-11-01
2212.000,2018-11-01,1904-01-01,2018-11-01
2211.000,2018-11-01,1905-01-01,2018-11-01
2214.000,2018-11-01,1906-01-01,2018-11-01
2217.000,2018-11-01,1907-01-01,2018-11-01
2220.000,2018-11-01,1908-01-01,2018-11-01
2223.000,2018-11-01,1909-01-01,2018-11-01
2228.000,2018-11-01,1910-01-01,2018-11-01
2249.000,2018-11-01,1911-01-01,2018-11-01
2279.000,2018-11-01,1912-01-01,2018-11-01
2305.000,2018-11-01,1913-01-01,2018-11-01
2338.000,2018-11-01,1914-01-01,2018-11-01
2366.000,2018-11-01,1915-01-01,2018-11-01
2376.000,2018-11-01,1916-01-01,2018-11-01
2382.000,2018-11-01,1917-01-01,2018-11-01
2351.000,2018-11-01,1918-01-01,2018-11-01
2379.000,2018-11-01,1919-01-01,2018-11-01
2400.000,2018-11-01,1920-01-01,2018-11-01
2407.000,2018-11-01,1921-01-01,2018-11-01
2428.000,2018-11-01,1922-01-01,2018-11-01
2425.000,2018-11-01,1923-01-01,2018-11-01
2420.000,2018-11-01,1924-01-01,2018-11-01
2427.000,2018-11-01,1925-01-01,2018-11-01
2432.000,2018-11-01,1926-01-01,2018-11-01
2441.000,2018-11-01,1927-01-01,2018-11-01
2450.000,2018-11-01,1928-01-01,2018-11-01
2460.000,2018-11-01,1929-01-01,2018-11-01
2475.000,2018-11-01,1930-01-01,2018-11-01
2482.000,2018-11-01,1931-01-01,2018-11-01
2489.000,2018-11-01,1932-01-01,2018-11-01
2495.000,2018-11-01,1933-01-01,2018-11-01
2510.000,2018-11-01,1934-01-01,2018-11-01
2524.000,2018-11-01,1935-01-01,2018-11-01
2509.000,2018-11-01,1936-01-01,2018-11-01
2498.000,2018-11-01,1937-01-01,2018-11-01
2494.000,2018-11-01,1938-01-01,2018-11-01
2520.000,2018-11-01,1939-01-01,2018-11-01
2537.000,2018-11-01,1940-01-01,2018-11-01
2491.000,2018-11-01,1941-01-01,2018-11-01
2439.000,2018-11-01,1942-01-01,2018-11-01
2334.000,2018-11-01,1943-01-01,2018-11-01
2301.000,2018-11-01,1944-01-01,2018-11-01
2308.000,2018-11-01,1945-01-01,2018-11-01
2467.000,2018-11-01,1946-01-01,2018-11-01
2509.000,2018-11-01,1947-01-01,2018-11-01
2543.000,2018-11-01,1948-01-01,2018-11-01
2578.000,2018-11-01,1949-01-01,2018-11-01
2625.000,2018-11-01,1950-01-01,2018-11-01
2617.000,2018-11-01,1951-01-01,2018-11-01
2626.000,2018-11-01,1952-01-01,2018-11-01
2629.000,2018-11-01,1953-01-01,2018-11-01
2626.000,2018-11-01,1954-01-01,2018-11-01
2679.000,2018-11-01,1955-01-01,2018-11-01
2703.000,2018-11-01,1956-01-01,2018-11-01
2716.000,2018-11-01,1957-01-01,2018-11-01
2708.000,2018-11-01,1958-01-01,2018-11-01
2729.000,2018-11-01,1959-01-01,2018-11-01
2756.000,2018-11-01,1960-01-01,2018-11-01
2756.000,2018-11-01,1961-01-01,2018-11-01
2750.000,2018-11-01,1962-01-01,2018-11-01
2747.000,2018-11-01,1963-01-01,2018-11-01
2746.000,2018-11-01,1964-01-01,2018-11-01
2742.000,2018-11-01,1965-01-01,2018-11-01
2762.000,2018-11-01,1966-01-01,2018-11-01
2793.000,2018-11-01,1967-01-01,2018-11-01
2803.000,2018-11-01,1968-01-01,2018-11-01
2805.000,2018-11-01,1969-01-01,2018-11-01
2825.368,2018-11-01,1970-01-01,2018-11-01
2851.705,2018-11-01,1971-01-01,2018-11-01
2860.287,2018-11-01,1972-01-01,2018-11-01
2863.715,2018-11-01,1973-01-01,2018-11-01
2867.530,2018-11-01,1974-01-01,2018-11-01
2880.847,2018-11-01,1975-01-01,2018-11-01
2903.082,2018-11-01,1976-01-01,2018-11-01
2913.573,2018-11-01,1977-01-01,2018-11-01
2918.069,2018-11-01,1978-01-01,2018-11-01
2915.739,2018-11-01,1979-01-01,2018-11-01
2914.018,2018-11-01,1980-01-01,2018-11-01
2907.983,2018-11-01,1981-01-01,2018-11-01
2888.189,2018-11-01,1982-01-01,2018-11-01
2870.543,2018-11-01,1983-01-01,2018-11-01
2858.618,2018-11-01,1984-01-01,2018-11-01
2829.684,2018-11-01,1985-01-01,2018-11-01
2791.970,2018-11-01,1986-01-01,2018-11-01
2767.011,2018-11-01,1987-01-01,2018-11-01
2768.388,2018-11-01,1988-01-01,2018-11-01
2770.592,2018-11-01,1989-01-01,2018-11-01
2779.769,2018-11-01,1990-01-01,2018-11-01
2791.227,2018-11-01,1991-01-01,2018-11-01
2806.923,2018-11-01,1992-01-01,2018-11-01
2820.525,2018-11-01,1993-01-01,2018-11-01
2829.422,2018-11-01,1994-01-01,2018-11-01
2840.860,2018-11-01,1995-01-01,2018-11-01
2848.473,2018-11-01,1996-01-01,2018-11-01
2854.396,2018-11-01,1997-01-01,2018-11-01
2861.025,2018-11-01,1998-01-01,2018-11-01
2869.413,2018-11-01,1999-01-01,2018-11-01
2929.067,2018-11-01,2000-01-01,2018-11-01
2931.997,2018-11-01,2001-01-01,2018-11-01
2934.234,2018-11-01,2002-01-01,2018-11-01
2941.999,2018-11-01,2003-01-01,2018-11-01
2953.635,2018-11-01,2004-01-01,2018-11-01
2964.454,2018-11-01,2005-01-01,2018-11-01
2982.644,2018-11-01,2006-01-01,2018-11-01
2999.212,2018-11-01,2007-01-01,2018-11-01
3016.734,2018-11-01,2008-01-01,2018-11-01
3032.870,2018-11-01,2009-01-01,2018-11-01
3050.223,2018-11-01,2010-01-01,2018-11-01
3063.690,2018-11-01,2011-01-01,2018-11-01
3074.386,2018-11-01,2012-01-01,2018-11-01
3089.876,2018-11-01,2013-01-01,2018-11-01
3105.563,2018-11-01,2014-01-01,2018-11-01
3118.473,2018-11-01,2015-01-01,2018-11-01
3130.869,2018-11-01,2016-01-01,2018-11-01
3145.711,2018-11-01,2017-01-01,2018-11-01
