value,realtime_end,date,realtime_start
1473.000,2018-11-01,1900-01-01,2018-11-01
1490.000,2018-11-01,1901-01-01,2018-11-01
1505.000,2018-11-01,1902-01-01,2018-11-01
1498.000,2018-11-01,1903-01-01,2018-11-01
1527.000,2018-11-01,1904-01-01,2018-11-01
1555.000,2018-11-01,1905-01-01,2018-11-01
1576.000,2018-11-01,1906-01-01,2018-11-01
1612.000,2018-11-01,1907-01-01,2018-11-01
1629.000,2018-11-01,1908-01-01,2018-11-01
1658.000,2018-11-01,1909-01-01,2018-11-01
1692.000,2018-11-01,1910-01-01,2018-11-01
1684.000,2018-11-01,1911-01-01,2018-11-01
1671.000,2018-11-01,1912-01-01,2018-11-01
1663.000,2018-11-01,1913-01-01,2018-11-01
1662.000,2018-11-01,1914-01-01,2018-11-01
1687.000,2018-11-01,1915-01-01,2018-11-01
1727.000,2018-11-01,1916-01-01,2018-11-01
1748.000,2018-11-01,1917-01-01,2018-11-01
1729.000,2018-11-01,1918-01-01,2018-11-01
1756.000,2018-11-01,1919-01-01,2018-11-01
1769.000,2018-11-01,1920-01-01,2018-11-01
1779.000,2018-11-01,1921-01-01,2018-11-01
1799.000,2018-11-01,1922-01-01,2018-11-01
1808.000,2018-11-01,1923-01-01,2018-11-01
1807.000,2018-11-01,1924-01-01,2018-11-01
1825.000,2018-11-01,1925-01-01,2018-11-01
1836.000,2018-11-01,1926-01-01,2018-11-01
1836.000,2018-11-01,1927-01-01,2018-11-01
1850.000,2018-11-01,1928-01-01,2018-11-01
1867.000,2018-11-01,1929-01-01,2018-11-01
1883.000,2018-11-01,1930-01-01,2018-11-01
1881.000,2018-11-01,1931-01-01,2018-11-01
1883.000,2018-11-01,1932-01-01,2018-11-01
1877.000,2018-11-01,1933-01-01,2018-11-01
1868.000,2018-11-01,1934-01-01,2018-11-01
1872.000,2018-11-01,1935-01-01,2018-11-01
1869.000,2018-11-01,1936-01-01,2018-11-01
1856.000,2018-11-01,1937-01-01,2018-11-01
1842.000,2018-11-01,1938-01-01,2018-11-01
1824.000,2018-11-01,1939-01-01,2018-11-01
1788.000,2018-11-01,1940-01-01,2018-11-01
1765.000,2018-11-01,1941-01-01,2018-11-01
1760.000,2018-11-01,1942-01-01,2018-11-01
1796.000,2018-11-01,1943-01-01,2018-11-01
1779.000,2018-11-01,1944-01-01,2018-11-01
1731.000,2018-11-01,1945-01-01,2018-11-01
1805.000,2018-11-01,1946-01-01,2018-11-01
