value,realtime_end,date,realtime_start
2148.000,2018-11-01,1900-01-01,2018-11-01
2162.000,2018-11-01,1901-01-01,2018-11-01
2177.000,2018-11-01,1902-01-01,2018-11-01
2191.000,2018-11-01,1903-01-01,2018-11-01
2205.000,2018-11-01,1904-01-01,2018-11-01
2220.000,2018-11-01,1905-01-01,2018-11-01
2234.000,2018-11-01,1906-01-01,2018-11-01
2249.000,2018-11-01,1907-01-01,2018-11-01
2263.000,2018-11-01,1908-01-01,2018-11-01
2278.000,2018-11-01,1909-01-01,2018-11-01
2299.000,2018-11-01,1910-01-01,2018-11-01
2324.000,2018-11-01,1911-01-01,2018-11-01
2347.000,2018-11-01,1912-01-01,2018-11-01
2374.000,2018-11-01,1913-01-01,2018-11-01
2395.000,2018-11-01,1914-01-01,2018-11-01
2401.000,2018-11-01,1915-01-01,2018-11-01
2411.000,2018-11-01,1916-01-01,2018-11-01
2421.000,2018-11-01,1917-01-01,2018-11-01
2425.000,2018-11-01,1918-01-01,2018-11-01
2413.000,2018-11-01,1919-01-01,2018-11-01
2421.000,2018-11-01,1920-01-01,2018-11-01
2436.000,2018-11-01,1921-01-01,2018-11-01
2450.000,2018-11-01,1922-01-01,2018-11-01
2480.000,2018-11-01,1923-01-01,2018-11-01
2531.000,2018-11-01,1924-01-01,2018-11-01
2520.000,2018-11-01,1925-01-01,2018-11-01
2545.000,2018-11-01,1926-01-01,2018-11-01
2551.000,2018-11-01,1927-01-01,2018-11-01
2567.000,2018-11-01,1928-01-01,2018-11-01
2606.000,2018-11-01,1929-01-01,2018-11-01
2623.000,2018-11-01,1930-01-01,2018-11-01
2652.000,2018-11-01,1931-01-01,2018-11-01
2676.000,2018-11-01,1932-01-01,2018-11-01
2698.000,2018-11-01,1933-01-01,2018-11-01
2722.000,2018-11-01,1934-01-01,2018-11-01
2748.000,2018-11-01,1935-01-01,2018-11-01
2768.000,2018-11-01,1936-01-01,2018-11-01
2784.000,2018-11-01,1937-01-01,2018-11-01
2800.000,2018-11-01,1938-01-01,2018-11-01
2825.000,2018-11-01,1939-01-01,2018-11-01
2859.000,2018-11-01,1940-01-01,2018-11-01
2824.000,2018-11-01,1941-01-01,2018-11-01
2797.000,2018-11-01,1942-01-01,2018-11-01
2693.000,2018-11-01,1943-01-01,2018-11-01
