value,realtime_end,date,realtime_start
1384.000,2018-11-01,1900-01-01,2018-11-01
1412.000,2018-11-01,1901-01-01,2018-11-01
1440.000,2018-11-01,1902-01-01,2018-11-01
1467.000,2018-11-01,1903-01-01,2018-11-01
1495.000,2018-11-01,1904-01-01,2018-11-01
1523.000,2018-11-01,1905-01-01,2018-11-01
1551.000,2018-11-01,1906-01-01,2018-11-01
1579.000,2018-11-01,1907-01-01,2018-11-01
1607.000,2018-11-01,1908-01-01,2018-11-01
1634.000,2018-11-01,1909-01-01,2018-11-01
1667.000,2018-11-01,1910-01-01,2018-11-01
1695.000,2018-11-01,1911-01-01,2018-11-01
1709.000,2018-11-01,1912-01-01,2018-11-01
1727.000,2018-11-01,1913-01-01,2018-11-01
1740.000,2018-11-01,1914-01-01,2018-11-01
1755.000,2018-11-01,1915-01-01,2018-11-01
1799.000,2018-11-01,1916-01-01,2018-11-01
1795.000,2018-11-01,1917-01-01,2018-11-01
1746.000,2018-11-01,1918-01-01,2018-11-01
1756.000,2018-11-01,1919-01-01,2018-11-01
1813.000,2018-11-01,1920-01-01,2018-11-01
1847.000,2018-11-01,1921-01-01,2018-11-01
1871.000,2018-11-01,1922-01-01,2018-11-01
1903.000,2018-11-01,1923-01-01,2018-11-01
1939.000,2018-11-01,1924-01-01,2018-11-01
1972.000,2018-11-01,1925-01-01,2018-11-01
2005.000,2018-11-01,1926-01-01,2018-11-01
2039.000,2018-11-01,1927-01-01,2018-11-01
2064.000,2018-11-01,1928-01-01,2018-11-01
2086.000,2018-11-01,1929-01-01,2018-11-01
2105.000,2018-11-01,1930-01-01,2018-11-01
2124.000,2018-11-01,1931-01-01,2018-11-01
2155.000,2018-11-01,1932-01-01,2018-11-01
2178.000,2018-11-01,1933-01-01,2018-11-01
2202.000,2018-11-01,1934-01-01,2018-11-01
2228.000,2018-11-01,1935-01-01,2018-11-01
2246.000,2018-11-01,1936-01-01,2018-11-01
2257.000,2018-11-01,1937-01-01,2018-11-01
2285.000,2018-11-01,1938-01-01,2018-11-01
2334.000,2018-11-01,1939-01-01,2018-11-01
2370.000,2018-11-01,1940-01-01,2018-11-01
2484.000,2018-11-01,1941-01-01,2018-11-01
2546.000,2018-11-01,1942-01-01,2018-11-01
2565.000,2018-11-01,1943-01-01,2018-11-01
2508.000,2018-11-01,1944-01-01,2018-11-01
2429.000,2018-11-01,1945-01-01,2018-11-01
2556.000,2018-11-01,1946-01-01,2018-11-01
2579.000,2018-11-01,1947-01-01,2018-11-01
2596.000,2018-11-01,1948-01-01,2018-11-01
2634.000,2018-11-01,1949-01-01,2018-11-01
2697.000,2018-11-01,1950-01-01,2018-11-01
2769.000,2018-11-01,1951-01-01,2018-11-01
2842.000,2018-11-01,1952-01-01,2018-11-01
2866.000,2018-11-01,1953-01-01,2018-11-01
2883.000,2018-11-01,1954-01-01,2018-11-01
2946.000,2018-11-01,1955-01-01,2018-11-01
3032.000,2018-11-01,1956-01-01,2018-11-01
3115.000,2018-11-01,1957-01-01,2018-11-01
3155.000,2018-11-01,1958-01-01,2018-11-01
3208.000,2018-11-01,1959-01-01,2018-11-01
3260.000,2018-11-01,1960-01-01,2018-11-01
3287.000,2018-11-01,1961-01-01,2018-11-01
3345.000,2018-11-01,1962-01-01,2018-11-01
3377.000,2018-11-01,1963-01-01,2018-11-01
3446.000,2018-11-01,1964-01-01,2018-11-01
3496.000,2018-11-01,1965-01-01,2018-11-01
3550.000,2018-11-01,1966-01-01,2018-11-01
3581.000,2018-11-01,1967-01-01,2018-11-01
3603.000,2018-11-01,1968-01-01,2018-11-01
3619.000,2018-11-01,1969-01-01,2018-11-01
3644.637,2018-11-01,1970-01-01,2018-11-01
3710.487,2018-11-01,1971-01-01,2018-11-01
3761.646,2018-11-01,1972-01-01,2018-11-01
3788.375,2018-11-01,1973-01-01,2018-11-01
3820.109,2018-11-01,1974-01-01,2018-11-01
3886.104,2018-11-01,1975-01-01,2018-11-01
3950.605,2018-11-01,1976-01-01,2018-11-01
4014.459,2018-11-01,1977-01-01,2018-11-01
4068.579,2018-11-01,1978-01-01,2018-11-01
4137.665,2018-11-01,1979-01-01,2018-11-01
4223.101,2018-11-01,1980-01-01,2018-11-01
4283.303,2018-11-01,1981-01-01,2018-11-01
4352.608,2018-11-01,1982-01-01,2018-11-01
4395.316,2018-11-01,1983-01-01,2018-11-01
4400.477,2018-11-01,1984-01-01,2018-11-01
4408.118,2018-11-01,1985-01-01,2018-11-01
4406.919,2018-11-01,1986-01-01,2018-11-01
4344.148,2018-11-01,1987-01-01,2018-11-01
4288.863,2018-11-01,1988-01-01,2018-11-01
4252.894,2018-11-01,1989-01-01,2018-11-01
4219.179,2018-11-01,1990-01-01,2018-11-01
4240.950,2018-11-01,1991-01-01,2018-11-01
4270.849,2018-11-01,1992-01-01,2018-11-01
4284.749,2018-11-01,1993-01-01,2018-11-01
4306.500,2018-11-01,1994-01-01,2018-11-01
4327.978,2018-11-01,1995-01-01,2018-11-01
4338.763,2018-11-01,1996-01-01,2018-11-01
4351.390,2018-11-01,1997-01-01,2018-11-01
4362.758,2018-11-01,1998-01-01,2018-11-01
4372.035,2018-11-01,1999-01-01,2018-11-01
4471.885,2018-11-01,2000-01-01,2018-11-01
4477.875,2018-11-01,2001-01-01,2018-11-01
4497.267,2018-11-01,2002-01-01,2018-11-01
4521.042,2018-11-01,2003-01-01,2018-11-01
4552.238,2018-11-01,2004-01-01,2018-11-01
4576.628,2018-11-01,2005-01-01,2018-11-01
4302.665,2018-11-01,2006-01-01,2018-11-01
4375.581,2018-11-01,2007-01-01,2018-11-01
4435.586,2018-11-01,2008-01-01,2018-11-01
4491.648,2018-11-01,2009-01-01,2018-11-01
4544.871,2018-11-01,2010-01-01,2018-11-01
4574.388,2018-11-01,2011-01-01,2018-11-01
4602.681,2018-11-01,2012-01-01,2018-11-01
4626.795,2018-11-01,2013-01-01,2018-11-01
4648.797,2018-11-01,2014-01-01,2018-11-01
4671.211,2018-11-01,2015-01-01,2018-11-01
4686.157,2018-11-01,2016-01-01,2018-11-01
4684.333,2018-11-01,2017-01-01,2018-11-01
