value,realtime_end,date,realtime_start
695.000,2018-11-01,1900-01-01,2018-11-01
699.000,2018-11-01,1901-01-01,2018-11-01
703.000,2018-11-01,1902-01-01,2018-11-01
709.000,2018-11-01,1903-01-01,2018-11-01
719.000,2018-11-01,1904-01-01,2018-11-01
723.000,2018-11-01,1905-01-01,2018-11-01
729.000,2018-11-01,1906-01-01,2018-11-01
731.000,2018-11-01,1907-01-01,2018-11-01
735.000,2018-11-01,1908-01-01,2018-11-01
740.000,2018-11-01,1909-01-01,2018-11-01
745.000,2018-11-01,1910-01-01,2018-11-01
751.000,2018-11-01,1911-01-01,2018-11-01
753.000,2018-11-01,1912-01-01,2018-11-01
763.000,2018-11-01,1913-01-01,2018-11-01
772.000,2018-11-01,1914-01-01,2018-11-01
774.000,2018-11-01,1915-01-01,2018-11-01
775.000,2018-11-01,1916-01-01,2018-11-01
777.000,2018-11-01,1917-01-01,2018-11-01
760.000,2018-11-01,1918-01-01,2018-11-01
762.000,2018-11-01,1919-01-01,2018-11-01
771.000,2018-11-01,1920-01-01,2018-11-01
775.000,2018-11-01,1921-01-01,2018-11-01
778.000,2018-11-01,1922-01-01,2018-11-01
781.000,2018-11-01,1923-01-01,2018-11-01
788.000,2018-11-01,1924-01-01,2018-11-01
792.000,2018-11-01,1925-01-01,2018-11-01
793.000,2018-11-01,1926-01-01,2018-11-01
796.000,2018-11-01,1927-01-01,2018-11-01
797.000,2018-11-01,1928-01-01,2018-11-01
797.000,2018-11-01,1929-01-01,2018-11-01
800.000,2018-11-01,1930-01-01,2018-11-01
807.000,2018-11-01,1931-01-01,2018-11-01
815.000,2018-11-01,1932-01-01,2018-11-01
821.000,2018-11-01,1933-01-01,2018-11-01
829.000,2018-11-01,1934-01-01,2018-11-01
836.000,2018-11-01,1935-01-01,2018-11-01
840.000,2018-11-01,1936-01-01,2018-11-01
842.000,2018-11-01,1937-01-01,2018-11-01
843.000,2018-11-01,1938-01-01,2018-11-01
846.000,2018-11-01,1939-01-01,2018-11-01
849.000,2018-11-01,1940-01-01,2018-11-01
852.000,2018-11-01,1941-01-01,2018-11-01
839.000,2018-11-01,1942-01-01,2018-11-01
806.000,2018-11-01,1943-01-01,2018-11-01
801.000,2018-11-01,1944-01-01,2018-11-01
800.000,2018-11-01,1945-01-01,2018-11-01
832.000,2018-11-01,1946-01-01,2018-11-01
