value,realtime_end,date,realtime_start
1189.000,2018-11-01,1900-01-01,2018-11-01
1200.000,2018-11-01,1901-01-01,2018-11-01
1210.000,2018-11-01,1902-01-01,2018-11-01
1209.000,2018-11-01,1903-01-01,2018-11-01
1217.000,2018-11-01,1904-01-01,2018-11-01
1237.000,2018-11-01,1905-01-01,2018-11-01
1251.000,2018-11-01,1906-01-01,2018-11-01
1257.000,2018-11-01,1907-01-01,2018-11-01
1269.000,2018-11-01,1908-01-01,2018-11-01
1289.000,2018-11-01,1909-01-01,2018-11-01
1302.000,2018-11-01,1910-01-01,2018-11-01
1324.000,2018-11-01,1911-01-01,2018-11-01
1345.000,2018-11-01,1912-01-01,2018-11-01
1368.000,2018-11-01,1913-01-01,2018-11-01
1389.000,2018-11-01,1914-01-01,2018-11-01
1401.000,2018-11-01,1915-01-01,2018-11-01
1415.000,2018-11-01,1916-01-01,2018-11-01
1428.000,2018-11-01,1917-01-01,2018-11-01
1467.000,2018-11-01,1918-01-01,2018-11-01
1445.000,2018-11-01,1919-01-01,2018-11-01
1464.000,2018-11-01,1920-01-01,2018-11-01
1492.000,2018-11-01,1921-01-01,2018-11-01
1509.000,2018-11-01,1922-01-01,2018-11-01
1521.000,2018-11-01,1923-01-01,2018-11-01
1537.000,2018-11-01,1924-01-01,2018-11-01
1556.000,2018-11-01,1925-01-01,2018-11-01
1576.000,2018-11-01,1926-01-01,2018-11-01
1599.000,2018-11-01,1927-01-01,2018-11-01
1610.000,2018-11-01,1928-01-01,2018-11-01
1621.000,2018-11-01,1929-01-01,2018-11-01
1636.000,2018-11-01,1930-01-01,2018-11-01
1657.000,2018-11-01,1931-01-01,2018-11-01
1678.000,2018-11-01,1932-01-01,2018-11-01
1694.000,2018-11-01,1933-01-01,2018-11-01
1710.000,2018-11-01,1934-01-01,2018-11-01
1729.000,2018-11-01,1935-01-01,2018-11-01
1745.000,2018-11-01,1936-01-01,2018-11-01
1754.000,2018-11-01,1937-01-01,2018-11-01
1766.000,2018-11-01,1938-01-01,2018-11-01
1793.000,2018-11-01,1939-01-01,2018-11-01
1839.000,2018-11-01,1940-01-01,2018-11-01
1913.000,2018-11-01,1941-01-01,2018-11-01
1998.000,2018-11-01,1942-01-01,2018-11-01
2089.000,2018-11-01,1943-01-01,2018-11-01
2118.000,2018-11-01,1944-01-01,2018-11-01
2096.000,2018-11-01,1945-01-01,2018-11-01
2214.000,2018-11-01,1946-01-01,2018-11-01
2248.000,2018-11-01,1947-01-01,2018-11-01
2271.000,2018-11-01,1948-01-01,2018-11-01
2329.000,2018-11-01,1949-01-01,2018-11-01
2355.000,2018-11-01,1950-01-01,2018-11-01
2441.000,2018-11-01,1951-01-01,2018-11-01
2500.000,2018-11-01,1952-01-01,2018-11-01
2567.000,2018-11-01,1953-01-01,2018-11-01
2685.000,2018-11-01,1954-01-01,2018-11-01
2742.000,2018-11-01,1955-01-01,2018-11-01
2811.000,2018-11-01,1956-01-01,2018-11-01
2873.000,2018-11-01,1957-01-01,2018-11-01
2982.000,2018-11-01,1958-01-01,2018-11-01
3066.000,2018-11-01,1959-01-01,2018-11-01
3113.000,2018-11-01,1960-01-01,2018-11-01
3176.000,2018-11-01,1961-01-01,2018-11-01
3263.000,2018-11-01,1962-01-01,2018-11-01
