value,realtime_end,date,realtime_start
2788.000,2018-11-01,1900-01-01,2018-11-01
2794.000,2018-11-01,1901-01-01,2018-11-01
2856.000,2018-11-01,1902-01-01,2018-11-01
2924.000,2018-11-01,1903-01-01,2018-11-01
2969.000,2018-11-01,1904-01-01,2018-11-01
3018.000,2018-11-01,1905-01-01,2018-11-01
3107.000,2018-11-01,1906-01-01,2018-11-01
3183.000,2018-11-01,1907-01-01,2018-11-01
3251.000,2018-11-01,1908-01-01,2018-11-01
3316.000,2018-11-01,1909-01-01,2018-11-01
3365.000,2018-11-01,1910-01-01,2018-11-01
3383.000,2018-11-01,1911-01-01,2018-11-01
3440.000,2018-11-01,1912-01-01,2018-11-01
3534.000,2018-11-01,1913-01-01,2018-11-01
3636.000,2018-11-01,1914-01-01,2018-11-01
3705.000,2018-11-01,1915-01-01,2018-11-01
3726.000,2018-11-01,1916-01-01,2018-11-01
3738.000,2018-11-01,1917-01-01,2018-11-01
3695.000,2018-11-01,1918-01-01,2018-11-01
3785.000,2018-11-01,1919-01-01,2018-11-01
3882.000,2018-11-01,1920-01-01,2018-11-01
3951.000,2018-11-01,1921-01-01,2018-11-01
4010.000,2018-11-01,1922-01-01,2018-11-01
4057.000,2018-11-01,1923-01-01,2018-11-01
4102.000,2018-11-01,1924-01-01,2018-11-01
4154.000,2018-11-01,1925-01-01,2018-11-01
4194.000,2018-11-01,1926-01-01,2018-11-01
4223.000,2018-11-01,1927-01-01,2018-11-01
4217.000,2018-11-01,1928-01-01,2018-11-01
4229.000,2018-11-01,1929-01-01,2018-11-01
4250.000,2018-11-01,1930-01-01,2018-11-01
4248.000,2018-11-01,1931-01-01,2018-11-01
4259.000,2018-11-01,1932-01-01,2018-11-01
4282.000,2018-11-01,1933-01-01,2018-11-01
4305.000,2018-11-01,1934-01-01,2018-11-01
4343.000,2018-11-01,1935-01-01,2018-11-01
4355.000,2018-11-01,1936-01-01,2018-11-01
4358.000,2018-11-01,1937-01-01,2018-11-01
4365.000,2018-11-01,1938-01-01,2018-11-01
4347.000,2018-11-01,1939-01-01,2018-11-01
4318.000,2018-11-01,1940-01-01,2018-11-01
4389.000,2018-11-01,1941-01-01,2018-11-01
4370.000,2018-11-01,1942-01-01,2018-11-01
4257.000,2018-11-01,1943-01-01,2018-11-01
4192.000,2018-11-01,1944-01-01,2018-11-01
4201.000,2018-11-01,1945-01-01,2018-11-01
4494.000,2018-11-01,1946-01-01,2018-11-01
4580.000,2018-11-01,1947-01-01,2018-11-01
4674.000,2018-11-01,1948-01-01,2018-11-01
4741.000,2018-11-01,1949-01-01,2018-11-01
4686.000,2018-11-01,1950-01-01,2018-11-01
4654.000,2018-11-01,1951-01-01,2018-11-01
4650.000,2018-11-01,1952-01-01,2018-11-01
4806.000,2018-11-01,1953-01-01,2018-11-01
4910.000,2018-11-01,1954-01-01,2018-11-01
4882.000,2018-11-01,1955-01-01,2018-11-01
4891.000,2018-11-01,1956-01-01,2018-11-01
4929.000,2018-11-01,1957-01-01,2018-11-01
5010.000,2018-11-01,1958-01-01,2018-11-01
5117.000,2018-11-01,1959-01-01,2018-11-01
5160.000,2018-11-01,1960-01-01,2018-11-01
5219.000,2018-11-01,1961-01-01,2018-11-01
5263.000,2018-11-01,1962-01-01,2018-11-01
5344.000,2018-11-01,1963-01-01,2018-11-01
5448.000,2018-11-01,1964-01-01,2018-11-01
5502.000,2018-11-01,1965-01-01,2018-11-01
5535.000,2018-11-01,1966-01-01,2018-11-01
5594.000,2018-11-01,1967-01-01,2018-11-01
5618.000,2018-11-01,1968-01-01,2018-11-01
5650.000,2018-11-01,1969-01-01,2018-11-01
5689.170,2018-11-01,1970-01-01,2018-11-01
5737.580,2018-11-01,1971-01-01,2018-11-01
5760.302,2018-11-01,1972-01-01,2018-11-01
5781.172,2018-11-01,1973-01-01,2018-11-01
5773.548,2018-11-01,1974-01-01,2018-11-01
5757.756,2018-11-01,1975-01-01,2018-11-01
5743.672,2018-11-01,1976-01-01,2018-11-01
5738.199,2018-11-01,1977-01-01,2018-11-01
5736.469,2018-11-01,1978-01-01,2018-11-01
5738.404,2018-11-01,1979-01-01,2018-11-01
5746.075,2018-11-01,1980-01-01,2018-11-01
5768.685,2018-11-01,1981-01-01,2018-11-01
5771.222,2018-11-01,1982-01-01,2018-11-01
5799.407,2018-11-01,1983-01-01,2018-11-01
5840.773,2018-11-01,1984-01-01,2018-11-01
5880.733,2018-11-01,1985-01-01,2018-11-01
5902.678,2018-11-01,1986-01-01,2018-11-01
5935.204,2018-11-01,1987-01-01,2018-11-01
5979.982,2018-11-01,1988-01-01,2018-11-01
6015.478,2018-11-01,1989-01-01,2018-11-01
6018.664,2018-11-01,1990-01-01,2018-11-01
5998.652,2018-11-01,1991-01-01,2018-11-01
5993.474,2018-11-01,1992-01-01,2018-11-01
6010.884,2018-11-01,1993-01-01,2018-11-01
6031.352,2018-11-01,1994-01-01,2018-11-01
6062.335,2018-11-01,1995-01-01,2018-11-01
6085.393,2018-11-01,1996-01-01,2018-11-01
6115.476,2018-11-01,1997-01-01,2018-11-01
6144.407,2018-11-01,1998-01-01,2018-11-01
6175.169,2018-11-01,1999-01-01,2018-11-01
6361.104,2018-11-01,2000-01-01,2018-11-01
6397.634,2018-11-01,2001-01-01,2018-11-01
6417.206,2018-11-01,2002-01-01,2018-11-01
6422.565,2018-11-01,2003-01-01,2018-11-01
6412.281,2018-11-01,2004-01-01,2018-11-01
6403.290,2018-11-01,2005-01-01,2018-11-01
6410.084,2018-11-01,2006-01-01,2018-11-01
6431.559,2018-11-01,2007-01-01,2018-11-01
6468.967,2018-11-01,2008-01-01,2018-11-01
6517.613,2018-11-01,2009-01-01,2018-11-01
6564.943,2018-11-01,2010-01-01,2018-11-01
6612.178,2018-11-01,2011-01-01,2018-11-01
6659.627,2018-11-01,2012-01-01,2018-11-01
6711.138,2018-11-01,2013-01-01,2018-11-01
6757.925,2018-11-01,2014-01-01,2018-11-01
6794.002,2018-11-01,2015-01-01,2018-11-01
6823.721,2018-11-01,2016-01-01,2018-11-01
6859.819,2018-11-01,2017-01-01,2018-11-01
