value,realtime_end,date,realtime_start
2423.000,2018-11-01,1900-01-01,2018-11-01
2450.000,2018-11-01,1901-01-01,2018-11-01
2477.000,2018-11-01,1902-01-01,2018-11-01
2505.000,2018-11-01,1903-01-01,2018-11-01
2534.000,2018-11-01,1904-01-01,2018-11-01
2579.000,2018-11-01,1905-01-01,2018-11-01
2626.000,2018-11-01,1906-01-01,2018-11-01
2693.000,2018-11-01,1907-01-01,2018-11-01
2722.000,2018-11-01,1908-01-01,2018-11-01
2771.000,2018-11-01,1909-01-01,2018-11-01
2832.000,2018-11-01,1910-01-01,2018-11-01
2916.000,2018-11-01,1911-01-01,2018-11-01
2997.000,2018-11-01,1912-01-01,2018-11-01
3101.000,2018-11-01,1913-01-01,2018-11-01
3183.000,2018-11-01,1914-01-01,2018-11-01
3263.000,2018-11-01,1915-01-01,2018-11-01
3353.000,2018-11-01,1916-01-01,2018-11-01
3451.000,2018-11-01,1917-01-01,2018-11-01
3499.000,2018-11-01,1918-01-01,2018-11-01
3591.000,2018-11-01,1919-01-01,2018-11-01
3723.000,2018-11-01,1920-01-01,2018-11-01
3872.000,2018-11-01,1921-01-01,2018-11-01
3942.000,2018-11-01,1922-01-01,2018-11-01
4063.000,2018-11-01,1923-01-01,2018-11-01
4214.000,2018-11-01,1924-01-01,2018-11-01
4331.000,2018-11-01,1925-01-01,2018-11-01
4451.000,2018-11-01,1926-01-01,2018-11-01
4589.000,2018-11-01,1927-01-01,2018-11-01
4665.000,2018-11-01,1928-01-01,2018-11-01
4795.000,2018-11-01,1929-01-01,2018-11-01
4834.000,2018-11-01,1930-01-01,2018-11-01
4798.000,2018-11-01,1931-01-01,2018-11-01
4780.000,2018-11-01,1932-01-01,2018-11-01
4780.000,2018-11-01,1933-01-01,2018-11-01
4798.000,2018-11-01,1934-01-01,2018-11-01
4838.000,2018-11-01,1935-01-01,2018-11-01
4889.000,2018-11-01,1936-01-01,2018-11-01
4968.000,2018-11-01,1937-01-01,2018-11-01
5056.000,2018-11-01,1938-01-01,2018-11-01
5156.000,2018-11-01,1939-01-01,2018-11-01
5315.000,2018-11-01,1940-01-01,2018-11-01
5472.000,2018-11-01,1941-01-01,2018-11-01
5549.000,2018-11-01,1942-01-01,2018-11-01
5405.000,2018-11-01,1943-01-01,2018-11-01
5467.000,2018-11-01,1944-01-01,2018-11-01
5475.000,2018-11-01,1945-01-01,2018-11-01
5874.000,2018-11-01,1946-01-01,2018-11-01
6076.000,2018-11-01,1947-01-01,2018-11-01
6213.000,2018-11-01,1948-01-01,2018-11-01
6332.000,2018-11-01,1949-01-01,2018-11-01
6407.000,2018-11-01,1950-01-01,2018-11-01
6497.000,2018-11-01,1951-01-01,2018-11-01
6650.000,2018-11-01,1952-01-01,2018-11-01
6822.000,2018-11-01,1953-01-01,2018-11-01
7066.000,2018-11-01,1954-01-01,2018-11-01
7285.000,2018-11-01,1955-01-01,2018-11-01
7467.000,2018-11-01,1956-01-01,2018-11-01
7569.000,2018-11-01,1957-01-01,2018-11-01
7667.000,2018-11-01,1958-01-01,2018-11-01
7767.000,2018-11-01,1959-01-01,2018-11-01
7834.000,2018-11-01,1960-01-01,2018-11-01
7893.000,2018-11-01,1961-01-01,2018-11-01
7933.000,2018-11-01,1962-01-01,2018-11-01
8058.000,2018-11-01,1963-01-01,2018-11-01
8187.000,2018-11-01,1964-01-01,2018-11-01
8357.000,2018-11-01,1965-01-01,2018-11-01
8512.000,2018-11-01,1966-01-01,2018-11-01
8630.000,2018-11-01,1967-01-01,2018-11-01
8696.000,2018-11-01,1968-01-01,2018-11-01
8781.000,2018-11-01,1969-01-01,2018-11-01
8881.826,2018-11-01,1970-01-01,2018-11-01
8974.186,2018-11-01,1971-01-01,2018-11-01
9028.944,2018-11-01,1972-01-01,2018-11-01
9077.956,2018-11-01,1973-01-01,2018-11-01
9117.507,2018-11-01,1974-01-01,2018-11-01
9117.668,2018-11-01,1975-01-01,2018-11-01
9129.205,2018-11-01,1976-01-01,2018-11-01
9171.110,2018-11-01,1977-01-01,2018-11-01
9217.761,2018-11-01,1978-01-01,2018-11-01
9266.268,2018-11-01,1979-01-01,2018-11-01
9255.553,2018-11-01,1980-01-01,2018-11-01
9209.287,2018-11-01,1981-01-01,2018-11-01
9115.198,2018-11-01,1982-01-01,2018-11-01
9047.754,2018-11-01,1983-01-01,2018-11-01
9049.452,2018-11-01,1984-01-01,2018-11-01
9076.293,2018-11-01,1985-01-01,2018-11-01
9127.775,2018-11-01,1986-01-01,2018-11-01
9187.481,2018-11-01,1987-01-01,2018-11-01
9217.998,2018-11-01,1988-01-01,2018-11-01
9253.295,2018-11-01,1989-01-01,2018-11-01
9310.462,2018-11-01,1990-01-01,2018-11-01
9395.022,2018-11-01,1991-01-01,2018-11-01
9470.323,2018-11-01,1992-01-01,2018-11-01
9529.240,2018-11-01,1993-01-01,2018-11-01
9584.481,2018-11-01,1994-01-01,2018-11-01
9659.871,2018-11-01,1995-01-01,2018-11-01
9739.184,2018-11-01,1996-01-01,2018-11-01
9785.450,2018-11-01,1997-01-01,2018-11-01
9820.231,2018-11-01,1998-01-01,2018-11-01
9863.775,2018-11-01,1999-01-01,2018-11-01
9952.450,2018-11-01,2000-01-01,2018-11-01
9991.120,2018-11-01,2001-01-01,2018-11-01
10015.710,2018-11-01,2002-01-01,2018-11-01
10041.152,2018-11-01,2003-01-01,2018-11-01
10055.315,2018-11-01,2004-01-01,2018-11-01
10051.137,2018-11-01,2005-01-01,2018-11-01
10036.081,2018-11-01,2006-01-01,2018-11-01
10001.284,2018-11-01,2007-01-01,2018-11-01
9946.889,2018-11-01,2008-01-01,2018-11-01
9901.591,2018-11-01,2009-01-01,2018-11-01
9876.731,2018-11-01,2010-01-01,2018-11-01
9876.199,2018-11-01,2011-01-01,2018-11-01
9886.610,2018-11-01,2012-01-01,2018-11-01
9899.219,2018-11-01,2013-01-01,2018-11-01
9914.675,2018-11-01,2014-01-01,2018-11-01
9918.170,2018-11-01,2015-01-01,2018-11-01
9933.445,2018-11-01,2016-01-01,2018-11-01
9962.311,2018-11-01,2017-01-01,2018-11-01
