value,realtime_end,date,realtime_start
1754.000,2018-11-01,1900-01-01,2018-11-01
1805.000,2018-11-01,1901-01-01,2018-11-01
1862.000,2018-11-01,1902-01-01,2018-11-01
1901.000,2018-11-01,1903-01-01,2018-11-01
1945.000,2018-11-01,1904-01-01,2018-11-01
1981.000,2018-11-01,1905-01-01,2018-11-01
1987.000,2018-11-01,1906-01-01,2018-11-01
1995.000,2018-11-01,1907-01-01,2018-11-01
2020.000,2018-11-01,1908-01-01,2018-11-01
2051.000,2018-11-01,1909-01-01,2018-11-01
2086.000,2018-11-01,1910-01-01,2018-11-01
2119.000,2018-11-01,1911-01-01,2018-11-01
2147.000,2018-11-01,1912-01-01,2018-11-01
2190.000,2018-11-01,1913-01-01,2018-11-01
2234.000,2018-11-01,1914-01-01,2018-11-01
2273.000,2018-11-01,1915-01-01,2018-11-01
2308.000,2018-11-01,1916-01-01,2018-11-01
2329.000,2018-11-01,1917-01-01,2018-11-01
2291.000,2018-11-01,1918-01-01,2018-11-01
2346.000,2018-11-01,1919-01-01,2018-11-01
2403.000,2018-11-01,1920-01-01,2018-11-01
2434.000,2018-11-01,1921-01-01,2018-11-01
2451.000,2018-11-01,1922-01-01,2018-11-01
2487.000,2018-11-01,1923-01-01,2018-11-01
2521.000,2018-11-01,1924-01-01,2018-11-01
2540.000,2018-11-01,1925-01-01,2018-11-01
2560.000,2018-11-01,1926-01-01,2018-11-01
2588.000,2018-11-01,1927-01-01,2018-11-01
2592.000,2018-11-01,1928-01-01,2018-11-01
2572.000,2018-11-01,1929-01-01,2018-11-01
2576.000,2018-11-01,1930-01-01,2018-11-01
2614.000,2018-11-01,1931-01-01,2018-11-01
2646.000,2018-11-01,1932-01-01,2018-11-01
2673.000,2018-11-01,1933-01-01,2018-11-01
2695.000,2018-11-01,1934-01-01,2018-11-01
2717.000,2018-11-01,1935-01-01,2018-11-01
2734.000,2018-11-01,1936-01-01,2018-11-01
2746.000,2018-11-01,1937-01-01,2018-11-01
2753.000,2018-11-01,1938-01-01,2018-11-01
2771.000,2018-11-01,1939-01-01,2018-11-01
2790.000,2018-11-01,1940-01-01,2018-11-01
2718.000,2018-11-01,1941-01-01,2018-11-01
2662.000,2018-11-01,1942-01-01,2018-11-01
2577.000,2018-11-01,1943-01-01,2018-11-01
2526.000,2018-11-01,1944-01-01,2018-11-01
2537.000,2018-11-01,1945-01-01,2018-11-01
2734.000,2018-11-01,1946-01-01,2018-11-01
2796.000,2018-11-01,1947-01-01,2018-11-01
2868.000,2018-11-01,1948-01-01,2018-11-01
2935.000,2018-11-01,1949-01-01,2018-11-01
2997.000,2018-11-01,1950-01-01,2018-11-01
3010.000,2018-11-01,1951-01-01,2018-11-01
3030.000,2018-11-01,1952-01-01,2018-11-01
3050.000,2018-11-01,1953-01-01,2018-11-01
3113.000,2018-11-01,1954-01-01,2018-11-01
3172.000,2018-11-01,1955-01-01,2018-11-01
3240.000,2018-11-01,1956-01-01,2018-11-01
3274.000,2018-11-01,1957-01-01,2018-11-01
3313.000,2018-11-01,1958-01-01,2018-11-01
3366.000,2018-11-01,1959-01-01,2018-11-01
3425.000,2018-11-01,1960-01-01,2018-11-01
3470.000,2018-11-01,1961-01-01,2018-11-01
3513.000,2018-11-01,1962-01-01,2018-11-01
3531.000,2018-11-01,1963-01-01,2018-11-01
3558.000,2018-11-01,1964-01-01,2018-11-01
3592.000,2018-11-01,1965-01-01,2018-11-01
3617.000,2018-11-01,1966-01-01,2018-11-01
3659.000,2018-11-01,1967-01-01,2018-11-01
3703.000,2018-11-01,1968-01-01,2018-11-01
3758.000,2018-11-01,1969-01-01,2018-11-01
3806.103,2018-11-01,1970-01-01,2018-11-01
3853.486,2018-11-01,1971-01-01,2018-11-01
3869.747,2018-11-01,1972-01-01,2018-11-01
3889.332,2018-11-01,1973-01-01,2018-11-01
3903.925,2018-11-01,1974-01-01,2018-11-01
3932.515,2018-11-01,1975-01-01,2018-11-01
3964.680,2018-11-01,1976-01-01,2018-11-01
3989.364,2018-11-01,1977-01-01,2018-11-01
4015.341,2018-11-01,1978-01-01,2018-11-01
4050.316,2018-11-01,1979-01-01,2018-11-01
4085.017,2018-11-01,1980-01-01,2018-11-01
4111.728,2018-11-01,1981-01-01,2018-11-01
4131.450,2018-11-01,1982-01-01,2018-11-01
4141.456,2018-11-01,1983-01-01,2018-11-01
4157.706,2018-11-01,1984-01-01,2018-11-01
4184.302,2018-11-01,1985-01-01,2018-11-01
4205.212,2018-11-01,1986-01-01,2018-11-01
4235.136,2018-11-01,1987-01-01,2018-11-01
4296.166,2018-11-01,1988-01-01,2018-11-01
4338.057,2018-11-01,1989-01-01,2018-11-01
4387.283,2018-11-01,1990-01-01,2018-11-01
4427.429,2018-11-01,1991-01-01,2018-11-01
4471.503,2018-11-01,1992-01-01,2018-11-01
4521.709,2018-11-01,1993-01-01,2018-11-01
4566.028,2018-11-01,1994-01-01,2018-11-01
4605.445,2018-11-01,1995-01-01,2018-11-01
4647.723,2018-11-01,1996-01-01,2018-11-01
4687.726,2018-11-01,1997-01-01,2018-11-01
4726.411,2018-11-01,1998-01-01,2018-11-01
4775.508,2018-11-01,1999-01-01,2018-11-01
4933.692,2018-11-01,2000-01-01,2018-11-01
4982.796,2018-11-01,2001-01-01,2018-11-01
5018.935,2018-11-01,2002-01-01,2018-11-01
5053.572,2018-11-01,2003-01-01,2018-11-01
5087.713,2018-11-01,2004-01-01,2018-11-01
5119.598,2018-11-01,2005-01-01,2018-11-01
5163.555,2018-11-01,2006-01-01,2018-11-01
5207.203,2018-11-01,2007-01-01,2018-11-01
5247.018,2018-11-01,2008-01-01,2018-11-01
5281.203,2018-11-01,2009-01-01,2018-11-01
5310.711,2018-11-01,2010-01-01,2018-11-01
5345.967,2018-11-01,2011-01-01,2018-11-01
5377.695,2018-11-01,2012-01-01,2018-11-01
5416.074,2018-11-01,2013-01-01,2018-11-01
5452.649,2018-11-01,2014-01-01,2018-11-01
5483.238,2018-11-01,2015-01-01,2018-11-01
5525.050,2018-11-01,2016-01-01,2018-11-01
5576.606,2018-11-01,2017-01-01,2018-11-01
