value,realtime_end,date,realtime_start
1553.000,2018-11-01,1900-01-01,2018-11-01
1578.000,2018-11-01,1901-01-01,2018-11-01
1603.000,2018-11-01,1902-01-01,2018-11-01
1628.000,2018-11-01,1903-01-01,2018-11-01
1653.000,2018-11-01,1904-01-01,2018-11-01
1678.000,2018-11-01,1905-01-01,2018-11-01
1703.000,2018-11-01,1906-01-01,2018-11-01
1728.000,2018-11-01,1907-01-01,2018-11-01
1753.000,2018-11-01,1908-01-01,2018-11-01
1777.000,2018-11-01,1909-01-01,2018-11-01
1802.000,2018-11-01,1910-01-01,2018-11-01
1810.000,2018-11-01,1911-01-01,2018-11-01
1817.000,2018-11-01,1912-01-01,2018-11-01
1827.000,2018-11-01,1913-01-01,2018-11-01
1832.000,2018-11-01,1914-01-01,2018-11-01
1826.000,2018-11-01,1915-01-01,2018-11-01
1823.000,2018-11-01,1916-01-01,2018-11-01
1820.000,2018-11-01,1917-01-01,2018-11-01
1813.000,2018-11-01,1918-01-01,2018-11-01
1790.000,2018-11-01,1919-01-01,2018-11-01
1800.000,2018-11-01,1920-01-01,2018-11-01
1823.000,2018-11-01,1921-01-01,2018-11-01
1836.000,2018-11-01,1922-01-01,2018-11-01
1858.000,2018-11-01,1923-01-01,2018-11-01
1886.000,2018-11-01,1924-01-01,2018-11-01
1910.000,2018-11-01,1925-01-01,2018-11-01
1935.000,2018-11-01,1926-01-01,2018-11-01
1962.000,2018-11-01,1927-01-01,2018-11-01
1981.000,2018-11-01,1928-01-01,2018-11-01
1998.000,2018-11-01,1929-01-01,2018-11-01
2006.000,2018-11-01,1930-01-01,2018-11-01
1994.000,2018-11-01,1931-01-01,2018-11-01
2004.000,2018-11-01,1932-01-01,2018-11-01
2031.000,2018-11-01,1933-01-01,2018-11-01
2050.000,2018-11-01,1934-01-01,2018-11-01
2061.000,2018-11-01,1935-01-01,2018-11-01
2072.000,2018-11-01,1936-01-01,2018-11-01
2086.000,2018-11-01,1937-01-01,2018-11-01
2127.000,2018-11-01,1938-01-01,2018-11-01
2168.000,2018-11-01,1939-01-01,2018-11-01
2176.000,2018-11-01,1940-01-01,2018-11-01
2184.000,2018-11-01,1941-01-01,2018-11-01
2210.000,2018-11-01,1942-01-01,2018-11-01
2280.000,2018-11-01,1943-01-01,2018-11-01
2167.000,2018-11-01,1944-01-01,2018-11-01
2090.000,2018-11-01,1945-01-01,2018-11-01
2064.000,2018-11-01,1946-01-01,2018-11-01
2107.000,2018-11-01,1947-01-01,2018-11-01
2076.000,2018-11-01,1948-01-01,2018-11-01
2085.000,2018-11-01,1949-01-01,2018-11-01
2176.000,2018-11-01,1950-01-01,2018-11-01
2163.000,2018-11-01,1951-01-01,2018-11-01
2152.000,2018-11-01,1952-01-01,2018-11-01
2105.000,2018-11-01,1953-01-01,2018-11-01
2064.000,2018-11-01,1954-01-01,2018-11-01
2060.000,2018-11-01,1955-01-01,2018-11-01
2086.000,2018-11-01,1956-01-01,2018-11-01
2088.000,2018-11-01,1957-01-01,2018-11-01
2086.000,2018-11-01,1958-01-01,2018-11-01
2138.000,2018-11-01,1959-01-01,2018-11-01
2182.000,2018-11-01,1960-01-01,2018-11-01
2206.000,2018-11-01,1961-01-01,2018-11-01
2243.000,2018-11-01,1962-01-01,2018-11-01
2244.000,2018-11-01,1963-01-01,2018-11-01
2241.000,2018-11-01,1964-01-01,2018-11-01
2246.000,2018-11-01,1965-01-01,2018-11-01
2245.000,2018-11-01,1966-01-01,2018-11-01
2228.000,2018-11-01,1967-01-01,2018-11-01
2219.000,2018-11-01,1968-01-01,2018-11-01
2220.000,2018-11-01,1969-01-01,2018-11-01
2216.994,2018-11-01,1970-01-01,2018-11-01
2265.432,2018-11-01,1971-01-01,2018-11-01
2307.117,2018-11-01,1972-01-01,2018-11-01
2349.546,2018-11-01,1973-01-01,2018-11-01
2378.268,2018-11-01,1974-01-01,2018-11-01
2399.449,2018-11-01,1975-01-01,2018-11-01
2429.756,2018-11-01,1976-01-01,2018-11-01
2459.201,2018-11-01,1977-01-01,2018-11-01
2487.816,2018-11-01,1978-01-01,2018-11-01
2507.069,2018-11-01,1979-01-01,2018-11-01
2525.342,2018-11-01,1980-01-01,2018-11-01
2539.036,2018-11-01,1981-01-01,2018-11-01
2556.777,2018-11-01,1982-01-01,2018-11-01
2567.717,2018-11-01,1983-01-01,2018-11-01
2578.051,2018-11-01,1984-01-01,2018-11-01
2588.102,2018-11-01,1985-01-01,2018-11-01
2593.597,2018-11-01,1986-01-01,2018-11-01
2588.545,2018-11-01,1987-01-01,2018-11-01
2580.352,2018-11-01,1988-01-01,2018-11-01
2574.269,2018-11-01,1989-01-01,2018-11-01
2577.426,2018-11-01,1990-01-01,2018-11-01
2591.230,2018-11-01,1991-01-01,2018-11-01
2610.193,2018-11-01,1992-01-01,2018-11-01
2635.574,2018-11-01,1993-01-01,2018-11-01
2663.450,2018-11-01,1994-01-01,2018-11-01
2690.788,2018-11-01,1995-01-01,2018-11-01
2709.925,2018-11-01,1996-01-01,2018-11-01
2731.826,2018-11-01,1997-01-01,2018-11-01
2751.335,2018-11-01,1998-01-01,2018-11-01
2768.619,2018-11-01,1999-01-01,2018-11-01
2848.353,2018-11-01,2000-01-01,2018-11-01
2852.994,2018-11-01,2001-01-01,2018-11-01
2858.681,2018-11-01,2002-01-01,2018-11-01
2868.312,2018-11-01,2003-01-01,2018-11-01
2889.010,2018-11-01,2004-01-01,2018-11-01
2905.943,2018-11-01,2005-01-01,2018-11-01
2904.978,2018-11-01,2006-01-01,2018-11-01
2928.350,2018-11-01,2007-01-01,2018-11-01
2947.806,2018-11-01,2008-01-01,2018-11-01
2958.774,2018-11-01,2009-01-01,2018-11-01
2970.437,2018-11-01,2010-01-01,2018-11-01
2977.452,2018-11-01,2011-01-01,2018-11-01
2982.963,2018-11-01,2012-01-01,2018-11-01
2987.721,2018-11-01,2013-01-01,2018-11-01
2988.578,2018-11-01,2014-01-01,2018-11-01
2985.297,2018-11-01,2015-01-01,2018-11-01
2985.415,2018-11-01,2016-01-01,2018-11-01
2984.100,2018-11-01,2017-01-01,2018-11-01
