value,realtime_end,date,realtime_start
3108.000,2018-11-01,1900-01-01,2018-11-01
3128.000,2018-11-01,1901-01-01,2018-11-01
3147.000,2018-11-01,1902-01-01,2018-11-01
3166.000,2018-11-01,1903-01-01,2018-11-01
3185.000,2018-11-01,1904-01-01,2018-11-01
3204.000,2018-11-01,1905-01-01,2018-11-01
3223.000,2018-11-01,1906-01-01,2018-11-01
3242.000,2018-11-01,1907-01-01,2018-11-01
3260.000,2018-11-01,1908-01-01,2018-11-01
3279.000,2018-11-01,1909-01-01,2018-11-01
3301.000,2018-11-01,1910-01-01,2018-11-01
3317.000,2018-11-01,1911-01-01,2018-11-01
3344.000,2018-11-01,1912-01-01,2018-11-01
3409.000,2018-11-01,1913-01-01,2018-11-01
3467.000,2018-11-01,1914-01-01,2018-11-01
3492.000,2018-11-01,1915-01-01,2018-11-01
3527.000,2018-11-01,1916-01-01,2018-11-01
3470.000,2018-11-01,1917-01-01,2018-11-01
3325.000,2018-11-01,1918-01-01,2018-11-01
3371.000,2018-11-01,1919-01-01,2018-11-01
3404.000,2018-11-01,1920-01-01,2018-11-01
3429.000,2018-11-01,1921-01-01,2018-11-01
3437.000,2018-11-01,1922-01-01,2018-11-01
3454.000,2018-11-01,1923-01-01,2018-11-01
3508.000,2018-11-01,1924-01-01,2018-11-01
3526.000,2018-11-01,1925-01-01,2018-11-01
3556.000,2018-11-01,1926-01-01,2018-11-01
3576.000,2018-11-01,1927-01-01,2018-11-01
3601.000,2018-11-01,1928-01-01,2018-11-01
3622.000,2018-11-01,1929-01-01,2018-11-01
3646.000,2018-11-01,1930-01-01,2018-11-01
3711.000,2018-11-01,1931-01-01,2018-11-01
3746.000,2018-11-01,1932-01-01,2018-11-01
3773.000,2018-11-01,1933-01-01,2018-11-01
3784.000,2018-11-01,1934-01-01,2018-11-01
3798.000,2018-11-01,1935-01-01,2018-11-01
3801.000,2018-11-01,1936-01-01,2018-11-01
3794.000,2018-11-01,1937-01-01,2018-11-01
3781.000,2018-11-01,1938-01-01,2018-11-01
3783.000,2018-11-01,1939-01-01,2018-11-01
3786.000,2018-11-01,1940-01-01,2018-11-01
3811.000,2018-11-01,1941-01-01,2018-11-01
3829.000,2018-11-01,1942-01-01,2018-11-01
3705.000,2018-11-01,1943-01-01,2018-11-01
3560.000,2018-11-01,1944-01-01,2018-11-01
3516.000,2018-11-01,1945-01-01,2018-11-01
3746.000,2018-11-01,1946-01-01,2018-11-01
3845.000,2018-11-01,1947-01-01,2018-11-01
3844.000,2018-11-01,1948-01-01,2018-11-01
3882.000,2018-11-01,1949-01-01,2018-11-01
3964.000,2018-11-01,1950-01-01,2018-11-01
4015.000,2018-11-01,1951-01-01,2018-11-01
3972.000,2018-11-01,1952-01-01,2018-11-01
4020.000,2018-11-01,1953-01-01,2018-11-01
4066.000,2018-11-01,1954-01-01,2018-11-01
4134.000,2018-11-01,1955-01-01,2018-11-01
4163.000,2018-11-01,1956-01-01,2018-11-01
4189.000,2018-11-01,1957-01-01,2018-11-01
4186.000,2018-11-01,1958-01-01,2018-11-01
4258.000,2018-11-01,1959-01-01,2018-11-01
4326.000,2018-11-01,1960-01-01,2018-11-01
4349.000,2018-11-01,1961-01-01,2018-11-01
4357.000,2018-11-01,1962-01-01,2018-11-01
4392.000,2018-11-01,1963-01-01,2018-11-01
4442.000,2018-11-01,1964-01-01,2018-11-01
4467.000,2018-11-01,1965-01-01,2018-11-01
4523.000,2018-11-01,1966-01-01,2018-11-01
4539.000,2018-11-01,1967-01-01,2018-11-01
4568.000,2018-11-01,1968-01-01,2018-11-01
4640.000,2018-11-01,1969-01-01,2018-11-01
4677.623,2018-11-01,1970-01-01,2018-11-01
4725.764,2018-11-01,1971-01-01,2018-11-01
4758.780,2018-11-01,1972-01-01,2018-11-01
4782.645,2018-11-01,1973-01-01,2018-11-01
4795.930,2018-11-01,1974-01-01,2018-11-01
4808.308,2018-11-01,1975-01-01,2018-11-01
4839.029,2018-11-01,1976-01-01,2018-11-01
4863.173,2018-11-01,1977-01-01,2018-11-01
4889.399,2018-11-01,1978-01-01,2018-11-01
4912.430,2018-11-01,1979-01-01,2018-11-01
4921.966,2018-11-01,1980-01-01,2018-11-01
4932.064,2018-11-01,1981-01-01,2018-11-01
4929.451,2018-11-01,1982-01-01,2018-11-01
4943.733,2018-11-01,1983-01-01,2018-11-01
4975.278,2018-11-01,1984-01-01,2018-11-01
5000.268,2018-11-01,1985-01-01,2018-11-01
5023.068,2018-11-01,1986-01-01,2018-11-01
5056.696,2018-11-01,1987-01-01,2018-11-01
5081.736,2018-11-01,1988-01-01,2018-11-01
5095.830,2018-11-01,1989-01-01,2018-11-01
5126.370,2018-11-01,1990-01-01,2018-11-01
5157.770,2018-11-01,1991-01-01,2018-11-01
5193.686,2018-11-01,1992-01-01,2018-11-01
5237.757,2018-11-01,1993-01-01,2018-11-01
5281.206,2018-11-01,1994-01-01,2018-11-01
5324.610,2018-11-01,1995-01-01,2018-11-01
5367.888,2018-11-01,1996-01-01,2018-11-01
5407.113,2018-11-01,1997-01-01,2018-11-01
5437.562,2018-11-01,1998-01-01,2018-11-01
5468.338,2018-11-01,1999-01-01,2018-11-01
5607.285,2018-11-01,2000-01-01,2018-11-01
5641.142,2018-11-01,2001-01-01,2018-11-01
5674.825,2018-11-01,2002-01-01,2018-11-01
5709.403,2018-11-01,2003-01-01,2018-11-01
5747.741,2018-11-01,2004-01-01,2018-11-01
5790.300,2018-11-01,2005-01-01,2018-11-01
5842.704,2018-11-01,2006-01-01,2018-11-01
5887.612,2018-11-01,2007-01-01,2018-11-01
5923.916,2018-11-01,2008-01-01,2018-11-01
5961.088,2018-11-01,2009-01-01,2018-11-01
5995.681,2018-11-01,2010-01-01,2018-11-01
6010.280,2018-11-01,2011-01-01,2018-11-01
6023.267,2018-11-01,2012-01-01,2018-11-01
6041.142,2018-11-01,2013-01-01,2018-11-01
6058.014,2018-11-01,2014-01-01,2018-11-01
6072.640,2018-11-01,2015-01-01,2018-11-01
6091.176,2018-11-01,2016-01-01,2018-11-01
6113.532,2018-11-01,2017-01-01,2018-11-01
