value,realtime_end,date,realtime_start
245.000,2018-11-01,1900-01-01,2018-11-01
261.000,2018-11-01,1901-01-01,2018-11-01
270.000,2018-11-01,1902-01-01,2018-11-01
282.000,2018-11-01,1903-01-01,2018-11-01
293.000,2018-11-01,1904-01-01,2018-11-01
305.000,2018-11-01,1905-01-01,2018-11-01
322.000,2018-11-01,1906-01-01,2018-11-01
332.000,2018-11-01,1907-01-01,2018-11-01
346.000,2018-11-01,1908-01-01,2018-11-01
363.000,2018-11-01,1909-01-01,2018-11-01
380.000,2018-11-01,1910-01-01,2018-11-01
397.000,2018-11-01,1911-01-01,2018-11-01
414.000,2018-11-01,1912-01-01,2018-11-01
433.000,2018-11-01,1913-01-01,2018-11-01
452.000,2018-11-01,1914-01-01,2018-11-01
469.000,2018-11-01,1915-01-01,2018-11-01
487.000,2018-11-01,1916-01-01,2018-11-01
505.000,2018-11-01,1917-01-01,2018-11-01
501.000,2018-11-01,1918-01-01,2018-11-01
534.000,2018-11-01,1919-01-01,2018-11-01
543.000,2018-11-01,1920-01-01,2018-11-01
546.000,2018-11-01,1921-01-01,2018-11-01
543.000,2018-11-01,1922-01-01,2018-11-01
538.000,2018-11-01,1923-01-01,2018-11-01
538.000,2018-11-01,1924-01-01,2018-11-01
535.000,2018-11-01,1925-01-01,2018-11-01
531.000,2018-11-01,1926-01-01,2018-11-01
527.000,2018-11-01,1927-01-01,2018-11-01
541.000,2018-11-01,1928-01-01,2018-11-01
524.000,2018-11-01,1929-01-01,2018-11-01
539.000,2018-11-01,1930-01-01,2018-11-01
540.000,2018-11-01,1931-01-01,2018-11-01
540.000,2018-11-01,1932-01-01,2018-11-01
541.000,2018-11-01,1933-01-01,2018-11-01
545.000,2018-11-01,1934-01-01,2018-11-01
550.000,2018-11-01,1935-01-01,2018-11-01
554.000,2018-11-01,1936-01-01,2018-11-01
554.000,2018-11-01,1937-01-01,2018-11-01
552.000,2018-11-01,1938-01-01,2018-11-01
555.000,2018-11-01,1939-01-01,2018-11-01
558.000,2018-11-01,1940-01-01,2018-11-01
543.000,2018-11-01,1941-01-01,2018-11-01
518.000,2018-11-01,1942-01-01,2018-11-01
485.000,2018-11-01,1943-01-01,2018-11-01
469.000,2018-11-01,1944-01-01,2018-11-01
477.000,2018-11-01,1945-01-01,2018-11-01
514.000,2018-11-01,1946-01-01,2018-11-01
531.000,2018-11-01,1947-01-01,2018-11-01
542.000,2018-11-01,1948-01-01,2018-11-01
569.000,2018-11-01,1949-01-01,2018-11-01
593.000,2018-11-01,1950-01-01,2018-11-01
596.000,2018-11-01,1951-01-01,2018-11-01
602.000,2018-11-01,1952-01-01,2018-11-01
616.000,2018-11-01,1953-01-01,2018-11-01
624.000,2018-11-01,1954-01-01,2018-11-01
636.000,2018-11-01,1955-01-01,2018-11-01
656.000,2018-11-01,1956-01-01,2018-11-01
667.000,2018-11-01,1957-01-01,2018-11-01
666.000,2018-11-01,1958-01-01,2018-11-01
669.000,2018-11-01,1959-01-01,2018-11-01
679.000,2018-11-01,1960-01-01,2018-11-01
696.000,2018-11-01,1961-01-01,2018-11-01
698.000,2018-11-01,1962-01-01,2018-11-01
703.000,2018-11-01,1963-01-01,2018-11-01
706.000,2018-11-01,1964-01-01,2018-11-01
706.000,2018-11-01,1965-01-01,2018-11-01
707.000,2018-11-01,1966-01-01,2018-11-01
701.000,2018-11-01,1967-01-01,2018-11-01
700.000,2018-11-01,1968-01-01,2018-11-01
694.000,2018-11-01,1969-01-01,2018-11-01
694.409,2018-11-01,1970-01-01,2018-11-01
710.814,2018-11-01,1971-01-01,2018-11-01
718.732,2018-11-01,1972-01-01,2018-11-01
726.798,2018-11-01,1973-01-01,2018-11-01
736.419,2018-11-01,1974-01-01,2018-11-01
748.208,2018-11-01,1975-01-01,2018-11-01
757.317,2018-11-01,1976-01-01,2018-11-01
769.953,2018-11-01,1977-01-01,2018-11-01
782.317,2018-11-01,1978-01-01,2018-11-01
787.305,2018-11-01,1979-01-01,2018-11-01
788.752,2018-11-01,1980-01-01,2018-11-01
795.328,2018-11-01,1981-01-01,2018-11-01
803.986,2018-11-01,1982-01-01,2018-11-01
814.031,2018-11-01,1983-01-01,2018-11-01
820.905,2018-11-01,1984-01-01,2018-11-01
822.320,2018-11-01,1985-01-01,2018-11-01
813.739,2018-11-01,1986-01-01,2018-11-01
805.063,2018-11-01,1987-01-01,2018-11-01
