value,realtime_end,date,realtime_start
1067.000,2018-11-01,1900-01-01,2018-11-01
1078.000,2018-11-01,1901-01-01,2018-11-01
1089.000,2018-11-01,1902-01-01,2018-11-01
1104.000,2018-11-01,1903-01-01,2018-11-01
1119.000,2018-11-01,1904-01-01,2018-11-01
1129.000,2018-11-01,1905-01-01,2018-11-01
1138.000,2018-11-01,1906-01-01,2018-11-01
1149.000,2018-11-01,1907-01-01,2018-11-01
1161.000,2018-11-01,1908-01-01,2018-11-01
1177.000,2018-11-01,1909-01-01,2018-11-01
1198.000,2018-11-01,1910-01-01,2018-11-01
1216.000,2018-11-01,1911-01-01,2018-11-01
1232.000,2018-11-01,1912-01-01,2018-11-01
1246.000,2018-11-01,1913-01-01,2018-11-01
1264.000,2018-11-01,1914-01-01,2018-11-01
1272.000,2018-11-01,1915-01-01,2018-11-01
1275.000,2018-11-01,1916-01-01,2018-11-01
1285.000,2018-11-01,1917-01-01,2018-11-01
1266.000,2018-11-01,1918-01-01,2018-11-01
1290.000,2018-11-01,1919-01-01,2018-11-01
1300.000,2018-11-01,1920-01-01,2018-11-01
1309.000,2018-11-01,1921-01-01,2018-11-01
1312.000,2018-11-01,1922-01-01,2018-11-01
1321.000,2018-11-01,1923-01-01,2018-11-01
1333.000,2018-11-01,1924-01-01,2018-11-01
1343.000,2018-11-01,1925-01-01,2018-11-01
1353.000,2018-11-01,1926-01-01,2018-11-01
1365.000,2018-11-01,1927-01-01,2018-11-01
1371.000,2018-11-01,1928-01-01,2018-11-01
1375.000,2018-11-01,1929-01-01,2018-11-01
1380.000,2018-11-01,1930-01-01,2018-11-01
1384.000,2018-11-01,1931-01-01,2018-11-01
1386.000,2018-11-01,1932-01-01,2018-11-01
1385.000,2018-11-01,1933-01-01,2018-11-01
1382.000,2018-11-01,1934-01-01,2018-11-01
1375.000,2018-11-01,1935-01-01,2018-11-01
1358.000,2018-11-01,1936-01-01,2018-11-01
1339.000,2018-11-01,1937-01-01,2018-11-01
1326.000,2018-11-01,1938-01-01,2018-11-01
1318.000,2018-11-01,1939-01-01,2018-11-01
1316.000,2018-11-01,1940-01-01,2018-11-01
1272.000,2018-11-01,1941-01-01,2018-11-01
1239.000,2018-11-01,1942-01-01,2018-11-01
1241.000,2018-11-01,1943-01-01,2018-11-01
1216.000,2018-11-01,1944-01-01,2018-11-01
1211.000,2018-11-01,1945-01-01,2018-11-01
1256.000,2018-11-01,1946-01-01,2018-11-01
1265.000,2018-11-01,1947-01-01,2018-11-01
1265.000,2018-11-01,1948-01-01,2018-11-01
1302.000,2018-11-01,1949-01-01,2018-11-01
1327.000,2018-11-01,1950-01-01,2018-11-01
1316.000,2018-11-01,1951-01-01,2018-11-01
1311.000,2018-11-01,1952-01-01,2018-11-01
1318.000,2018-11-01,1953-01-01,2018-11-01
1340.000,2018-11-01,1954-01-01,2018-11-01
1374.000,2018-11-01,1955-01-01,2018-11-01
1397.000,2018-11-01,1956-01-01,2018-11-01
1394.000,2018-11-01,1957-01-01,2018-11-01
1383.000,2018-11-01,1958-01-01,2018-11-01
1397.000,2018-11-01,1959-01-01,2018-11-01
1417.000,2018-11-01,1960-01-01,2018-11-01
1446.000,2018-11-01,1961-01-01,2018-11-01
1464.000,2018-11-01,1962-01-01,2018-11-01
1476.000,2018-11-01,1963-01-01,2018-11-01
1482.000,2018-11-01,1964-01-01,2018-11-01
1471.000,2018-11-01,1965-01-01,2018-11-01
1456.000,2018-11-01,1966-01-01,2018-11-01
1457.000,2018-11-01,1967-01-01,2018-11-01
1467.000,2018-11-01,1968-01-01,2018-11-01
1474.000,2018-11-01,1969-01-01,2018-11-01
1485.333,2018-11-01,1970-01-01,2018-11-01
1504.604,2018-11-01,1971-01-01,2018-11-01
1519.013,2018-11-01,1972-01-01,2018-11-01
1529.567,2018-11-01,1973-01-01,2018-11-01
1539.191,2018-11-01,1974-01-01,2018-11-01
1543.117,2018-11-01,1975-01-01,2018-11-01
1550.911,2018-11-01,1976-01-01,2018-11-01
1556.842,2018-11-01,1977-01-01,2018-11-01
1563.884,2018-11-01,1978-01-01,2018-11-01
1567.344,2018-11-01,1979-01-01,2018-11-01
1572.296,2018-11-01,1980-01-01,2018-11-01
1578.515,2018-11-01,1981-01-01,2018-11-01
1581.780,2018-11-01,1982-01-01,2018-11-01
