value,realtime_end,date,realtime_start
43.000,2018-11-01,1900-01-01,2018-11-01
45.000,2018-11-01,1901-01-01,2018-11-01
49.000,2018-11-01,1902-01-01,2018-11-01
52.000,2018-11-01,1903-01-01,2018-11-01
56.000,2018-11-01,1904-01-01,2018-11-01
59.000,2018-11-01,1905-01-01,2018-11-01
64.000,2018-11-01,1906-01-01,2018-11-01
68.000,2018-11-01,1907-01-01,2018-11-01
73.000,2018-11-01,1908-01-01,2018-11-01
78.000,2018-11-01,1909-01-01,2018-11-01
82.000,2018-11-01,1910-01-01,2018-11-01
81.000,2018-11-01,1911-01-01,2018-11-01
81.000,2018-11-01,1912-01-01,2018-11-01
82.000,2018-11-01,1913-01-01,2018-11-01
83.000,2018-11-01,1914-01-01,2018-11-01
82.000,2018-11-01,1915-01-01,2018-11-01
82.000,2018-11-01,1916-01-01,2018-11-01
81.000,2018-11-01,1917-01-01,2018-11-01
77.000,2018-11-01,1918-01-01,2018-11-01
77.000,2018-11-01,1919-01-01,2018-11-01
78.000,2018-11-01,1920-01-01,2018-11-01
80.000,2018-11-01,1921-01-01,2018-11-01
81.000,2018-11-01,1922-01-01,2018-11-01
82.000,2018-11-01,1923-01-01,2018-11-01
84.000,2018-11-01,1924-01-01,2018-11-01
85.000,2018-11-01,1925-01-01,2018-11-01
87.000,2018-11-01,1926-01-01,2018-11-01
88.000,2018-11-01,1927-01-01,2018-11-01
89.000,2018-11-01,1928-01-01,2018-11-01
90.000,2018-11-01,1929-01-01,2018-11-01
92.000,2018-11-01,1930-01-01,2018-11-01
94.000,2018-11-01,1931-01-01,2018-11-01
96.000,2018-11-01,1932-01-01,2018-11-01
96.000,2018-11-01,1933-01-01,2018-11-01
98.000,2018-11-01,1934-01-01,2018-11-01
100.000,2018-11-01,1935-01-01,2018-11-01
101.000,2018-11-01,1936-01-01,2018-11-01
103.000,2018-11-01,1937-01-01,2018-11-01
105.000,2018-11-01,1938-01-01,2018-11-01
107.000,2018-11-01,1939-01-01,2018-11-01
113.000,2018-11-01,1940-01-01,2018-11-01
120.000,2018-11-01,1941-01-01,2018-11-01
137.000,2018-11-01,1942-01-01,2018-11-01
151.000,2018-11-01,1943-01-01,2018-11-01
153.000,2018-11-01,1944-01-01,2018-11-01
149.000,2018-11-01,1945-01-01,2018-11-01
143.000,2018-11-01,1946-01-01,2018-11-01
149.000,2018-11-01,1947-01-01,2018-11-01
156.000,2018-11-01,1948-01-01,2018-11-01
157.000,2018-11-01,1949-01-01,2018-11-01
162.000,2018-11-01,1950-01-01,2018-11-01
168.000,2018-11-01,1951-01-01,2018-11-01
181.000,2018-11-01,1952-01-01,2018-11-01
195.000,2018-11-01,1953-01-01,2018-11-01
213.000,2018-11-01,1954-01-01,2018-11-01
237.000,2018-11-01,1955-01-01,2018-11-01
250.000,2018-11-01,1956-01-01,2018-11-01
260.000,2018-11-01,1957-01-01,2018-11-01
269.000,2018-11-01,1958-01-01,2018-11-01
279.000,2018-11-01,1959-01-01,2018-11-01
291.000,2018-11-01,1960-01-01,2018-11-01
315.000,2018-11-01,1961-01-01,2018-11-01
352.000,2018-11-01,1962-01-01,2018-11-01
