value,realtime_end,date,realtime_start
412.000,2018-11-01,1900-01-01,2018-11-01
412.000,2018-11-01,1901-01-01,2018-11-01
409.000,2018-11-01,1902-01-01,2018-11-01
394.000,2018-11-01,1903-01-01,2018-11-01
407.000,2018-11-01,1904-01-01,2018-11-01
423.000,2018-11-01,1905-01-01,2018-11-01
415.000,2018-11-01,1906-01-01,2018-11-01
423.000,2018-11-01,1907-01-01,2018-11-01
428.000,2018-11-01,1908-01-01,2018-11-01
431.000,2018-11-01,1909-01-01,2018-11-01
431.000,2018-11-01,1910-01-01,2018-11-01
432.000,2018-11-01,1911-01-01,2018-11-01
434.000,2018-11-01,1912-01-01,2018-11-01
439.000,2018-11-01,1913-01-01,2018-11-01
442.000,2018-11-01,1914-01-01,2018-11-01
443.000,2018-11-01,1915-01-01,2018-11-01
445.000,2018-11-01,1916-01-01,2018-11-01
447.000,2018-11-01,1917-01-01,2018-11-01
440.000,2018-11-01,1918-01-01,2018-11-01
443.000,2018-11-01,1919-01-01,2018-11-01
444.000,2018-11-01,1920-01-01,2018-11-01
449.000,2018-11-01,1921-01-01,2018-11-01
451.000,2018-11-01,1922-01-01,2018-11-01
453.000,2018-11-01,1923-01-01,2018-11-01
457.000,2018-11-01,1924-01-01,2018-11-01
459.000,2018-11-01,1925-01-01,2018-11-01
463.000,2018-11-01,1926-01-01,2018-11-01
466.000,2018-11-01,1927-01-01,2018-11-01
468.000,2018-11-01,1928-01-01,2018-11-01
467.000,2018-11-01,1929-01-01,2018-11-01
466.000,2018-11-01,1930-01-01,2018-11-01
470.000,2018-11-01,1931-01-01,2018-11-01
474.000,2018-11-01,1932-01-01,2018-11-01
477.000,2018-11-01,1933-01-01,2018-11-01
480.000,2018-11-01,1934-01-01,2018-11-01
481.000,2018-11-01,1935-01-01,2018-11-01
481.000,2018-11-01,1936-01-01,2018-11-01
481.000,2018-11-01,1937-01-01,2018-11-01
485.000,2018-11-01,1938-01-01,2018-11-01
490.000,2018-11-01,1939-01-01,2018-11-01
492.000,2018-11-01,1940-01-01,2018-11-01
490.000,2018-11-01,1941-01-01,2018-11-01
481.000,2018-11-01,1942-01-01,2018-11-01
462.000,2018-11-01,1943-01-01,2018-11-01
456.000,2018-11-01,1944-01-01,2018-11-01
459.000,2018-11-01,1945-01-01,2018-11-01
494.000,2018-11-01,1946-01-01,2018-11-01
507.000,2018-11-01,1947-01-01,2018-11-01
520.000,2018-11-01,1948-01-01,2018-11-01
533.000,2018-11-01,1949-01-01,2018-11-01
532.000,2018-11-01,1950-01-01,2018-11-01
529.000,2018-11-01,1951-01-01,2018-11-01
535.000,2018-11-01,1952-01-01,2018-11-01
547.000,2018-11-01,1953-01-01,2018-11-01
554.000,2018-11-01,1954-01-01,2018-11-01
557.000,2018-11-01,1955-01-01,2018-11-01
566.000,2018-11-01,1956-01-01,2018-11-01
572.000,2018-11-01,1957-01-01,2018-11-01
581.000,2018-11-01,1958-01-01,2018-11-01
596.000,2018-11-01,1959-01-01,2018-11-01
609.000,2018-11-01,1960-01-01,2018-11-01
618.000,2018-11-01,1961-01-01,2018-11-01
632.000,2018-11-01,1962-01-01,2018-11-01
649.000,2018-11-01,1963-01-01,2018-11-01
663.000,2018-11-01,1964-01-01,2018-11-01
676.000,2018-11-01,1965-01-01,2018-11-01
681.000,2018-11-01,1966-01-01,2018-11-01
697.000,2018-11-01,1967-01-01,2018-11-01
709.000,2018-11-01,1968-01-01,2018-11-01
724.000,2018-11-01,1969-01-01,2018-11-01
737.681,2018-11-01,1970-01-01,2018-11-01
761.851,2018-11-01,1971-01-01,2018-11-01
781.107,2018-11-01,1972-01-01,2018-11-01
800.951,2018-11-01,1973-01-01,2018-11-01
815.914,2018-11-01,1974-01-01,2018-11-01
828.555,2018-11-01,1975-01-01,2018-11-01
845.248,2018-11-01,1976-01-01,2018-11-01
869.763,2018-11-01,1977-01-01,2018-11-01
891.520,2018-11-01,1978-01-01,2018-11-01
909.074,2018-11-01,1979-01-01,2018-11-01
924.250,2018-11-01,1980-01-01,2018-11-01
936.621,2018-11-01,1981-01-01,2018-11-01
947.719,2018-11-01,1982-01-01,2018-11-01
958.134,2018-11-01,1983-01-01,2018-11-01
976.864,2018-11-01,1984-01-01,2018-11-01
996.753,2018-11-01,1985-01-01,2018-11-01
