value,realtime_end,date,realtime_start
1884.000,2018-11-01,1900-01-01,2018-11-01
1889.000,2018-11-01,1901-01-01,2018-11-01
1917.000,2018-11-01,1902-01-01,2018-11-01
1969.000,2018-11-01,1903-01-01,2018-11-01
2050.000,2018-11-01,1904-01-01,2018-11-01
2151.000,2018-11-01,1905-01-01,2018-11-01
2239.000,2018-11-01,1906-01-01,2018-11-01
2314.000,2018-11-01,1907-01-01,2018-11-01
2403.000,2018-11-01,1908-01-01,2018-11-01
2487.000,2018-11-01,1909-01-01,2018-11-01
2550.000,2018-11-01,1910-01-01,2018-11-01
2610.000,2018-11-01,1911-01-01,2018-11-01
2670.000,2018-11-01,1912-01-01,2018-11-01
2729.000,2018-11-01,1913-01-01,2018-11-01
2789.000,2018-11-01,1914-01-01,2018-11-01
2850.000,2018-11-01,1915-01-01,2018-11-01
2918.000,2018-11-01,1916-01-01,2018-11-01
2976.000,2018-11-01,1917-01-01,2018-11-01
3043.000,2018-11-01,1918-01-01,2018-11-01
3136.000,2018-11-01,1919-01-01,2018-11-01
3198.000,2018-11-01,1920-01-01,2018-11-01
3297.000,2018-11-01,1921-01-01,2018-11-01
3380.000,2018-11-01,1922-01-01,2018-11-01
3472.000,2018-11-01,1923-01-01,2018-11-01
3573.000,2018-11-01,1924-01-01,2018-11-01
3664.000,2018-11-01,1925-01-01,2018-11-01
3758.000,2018-11-01,1926-01-01,2018-11-01
3891.000,2018-11-01,1927-01-01,2018-11-01
3968.000,2018-11-01,1928-01-01,2018-11-01
3989.000,2018-11-01,1929-01-01,2018-11-01
4068.000,2018-11-01,1930-01-01,2018-11-01
4120.000,2018-11-01,1931-01-01,2018-11-01
4120.000,2018-11-01,1932-01-01,2018-11-01
4107.000,2018-11-01,1933-01-01,2018-11-01
4089.000,2018-11-01,1934-01-01,2018-11-01
4085.000,2018-11-01,1935-01-01,2018-11-01
4084.000,2018-11-01,1936-01-01,2018-11-01
4088.000,2018-11-01,1937-01-01,2018-11-01
4100.000,2018-11-01,1938-01-01,2018-11-01
4129.000,2018-11-01,1939-01-01,2018-11-01
4175.000,2018-11-01,1940-01-01,2018-11-01
4254.000,2018-11-01,1941-01-01,2018-11-01
4297.000,2018-11-01,1942-01-01,2018-11-01
4226.000,2018-11-01,1943-01-01,2018-11-01
4158.000,2018-11-01,1944-01-01,2018-11-01
4108.000,2018-11-01,1945-01-01,2018-11-01
4492.000,2018-11-01,1946-01-01,2018-11-01
4618.000,2018-11-01,1947-01-01,2018-11-01
4774.000,2018-11-01,1948-01-01,2018-11-01
4889.000,2018-11-01,1949-01-01,2018-11-01
4872.000,2018-11-01,1950-01-01,2018-11-01
5006.000,2018-11-01,1951-01-01,2018-11-01
5125.000,2018-11-01,1952-01-01,2018-11-01
5229.000,2018-11-01,1953-01-01,2018-11-01
5360.000,2018-11-01,1954-01-01,2018-11-01
5502.000,2018-11-01,1955-01-01,2018-11-01
5615.000,2018-11-01,1956-01-01,2018-11-01
5737.000,2018-11-01,1957-01-01,2018-11-01
5890.000,2018-11-01,1958-01-01,2018-11-01
6015.000,2018-11-01,1959-01-01,2018-11-01
6103.000,2018-11-01,1960-01-01,2018-11-01
6265.000,2018-11-01,1961-01-01,2018-11-01
6376.000,2018-11-01,1962-01-01,2018-11-01
6531.000,2018-11-01,1963-01-01,2018-11-01
6660.000,2018-11-01,1964-01-01,2018-11-01
6767.000,2018-11-01,1965-01-01,2018-11-01
6851.000,2018-11-01,1966-01-01,2018-11-01
6928.000,2018-11-01,1967-01-01,2018-11-01
7005.000,2018-11-01,1968-01-01,2018-11-01
7095.000,2018-11-01,1969-01-01,2018-11-01
7171.112,2018-11-01,1970-01-01,2018-11-01
7281.107,2018-11-01,1971-01-01,2018-11-01
7335.042,2018-11-01,1972-01-01,2018-11-01
7333.083,2018-11-01,1973-01-01,2018-11-01
7332.411,2018-11-01,1974-01-01,2018-11-01
7337.765,2018-11-01,1975-01-01,2018-11-01
7339.745,2018-11-01,1976-01-01,2018-11-01
7337.169,2018-11-01,1977-01-01,2018-11-01
7350.804,2018-11-01,1978-01-01,2018-11-01
7366.512,2018-11-01,1979-01-01,2018-11-01
7376.330,2018-11-01,1980-01-01,2018-11-01
7407.472,2018-11-01,1981-01-01,2018-11-01
7430.968,2018-11-01,1982-01-01,2018-11-01
7467.785,2018-11-01,1983-01-01,2018-11-01
7515.473,2018-11-01,1984-01-01,2018-11-01
7565.528,2018-11-01,1985-01-01,2018-11-01
7622.159,2018-11-01,1986-01-01,2018-11-01
7670.742,2018-11-01,1987-01-01,2018-11-01
7712.333,2018-11-01,1988-01-01,2018-11-01
7726.089,2018-11-01,1989-01-01,2018-11-01
7757.158,2018-11-01,1990-01-01,2018-11-01
7784.269,2018-11-01,1991-01-01,2018-11-01
7827.770,2018-11-01,1992-01-01,2018-11-01
7874.891,2018-11-01,1993-01-01,2018-11-01
7918.796,2018-11-01,1994-01-01,2018-11-01
7965.523,2018-11-01,1995-01-01,2018-11-01
8009.624,2018-11-01,1996-01-01,2018-11-01
8054.178,2018-11-01,1997-01-01,2018-11-01
8095.542,2018-11-01,1998-01-01,2018-11-01
8143.412,2018-11-01,1999-01-01,2018-11-01
8430.621,2018-11-01,2000-01-01,2018-11-01
8492.671,2018-11-01,2001-01-01,2018-11-01
8552.643,2018-11-01,2002-01-01,2018-11-01
8601.402,2018-11-01,2003-01-01,2018-11-01
8634.561,2018-11-01,2004-01-01,2018-11-01
8651.974,2018-11-01,2005-01-01,2018-11-01
8661.679,2018-11-01,2006-01-01,2018-11-01
8677.885,2018-11-01,2007-01-01,2018-11-01
8711.090,2018-11-01,2008-01-01,2018-11-01
