value,realtime_end,date,realtime_start
196.000,2018-11-01,1900-01-01,2018-11-01
206.000,2018-11-01,1901-01-01,2018-11-01
218.000,2018-11-01,1902-01-01,2018-11-01
229.000,2018-11-01,1903-01-01,2018-11-01
242.000,2018-11-01,1904-01-01,2018-11-01
255.000,2018-11-01,1905-01-01,2018-11-01
269.000,2018-11-01,1906-01-01,2018-11-01
283.000,2018-11-01,1907-01-01,2018-11-01
298.000,2018-11-01,1908-01-01,2018-11-01
314.000,2018-11-01,1909-01-01,2018-11-01
329.000,2018-11-01,1910-01-01,2018-11-01
334.000,2018-11-01,1911-01-01,2018-11-01
338.000,2018-11-01,1912-01-01,2018-11-01
344.000,2018-11-01,1913-01-01,2018-11-01
348.000,2018-11-01,1914-01-01,2018-11-01
351.000,2018-11-01,1915-01-01,2018-11-01
354.000,2018-11-01,1916-01-01,2018-11-01
361.000,2018-11-01,1917-01-01,2018-11-01
382.000,2018-11-01,1918-01-01,2018-11-01
362.000,2018-11-01,1919-01-01,2018-11-01
363.000,2018-11-01,1920-01-01,2018-11-01
370.000,2018-11-01,1921-01-01,2018-11-01
375.000,2018-11-01,1922-01-01,2018-11-01
382.000,2018-11-01,1923-01-01,2018-11-01
390.000,2018-11-01,1924-01-01,2018-11-01
396.000,2018-11-01,1925-01-01,2018-11-01
403.000,2018-11-01,1926-01-01,2018-11-01
410.000,2018-11-01,1927-01-01,2018-11-01
416.000,2018-11-01,1928-01-01,2018-11-01
420.000,2018-11-01,1929-01-01,2018-11-01
427.000,2018-11-01,1930-01-01,2018-11-01
436.000,2018-11-01,1931-01-01,2018-11-01
441.000,2018-11-01,1932-01-01,2018-11-01
449.000,2018-11-01,1933-01-01,2018-11-01
461.000,2018-11-01,1934-01-01,2018-11-01
475.000,2018-11-01,1935-01-01,2018-11-01
489.000,2018-11-01,1936-01-01,2018-11-01
503.000,2018-11-01,1937-01-01,2018-11-01
513.000,2018-11-01,1938-01-01,2018-11-01
523.000,2018-11-01,1939-01-01,2018-11-01
531.000,2018-11-01,1940-01-01,2018-11-01
506.000,2018-11-01,1941-01-01,2018-11-01
502.000,2018-11-01,1942-01-01,2018-11-01
534.000,2018-11-01,1943-01-01,2018-11-01
527.000,2018-11-01,1944-01-01,2018-11-01
537.000,2018-11-01,1945-01-01,2018-11-01
561.000,2018-11-01,1946-01-01,2018-11-01
582.000,2018-11-01,1947-01-01,2018-11-01
604.000,2018-11-01,1948-01-01,2018-11-01
644.000,2018-11-01,1949-01-01,2018-11-01
689.000,2018-11-01,1950-01-01,2018-11-01
717.000,2018-11-01,1951-01-01,2018-11-01
735.000,2018-11-01,1952-01-01,2018-11-01
756.000,2018-11-01,1953-01-01,2018-11-01
763.000,2018-11-01,1954-01-01,2018-11-01
785.000,2018-11-01,1955-01-01,2018-11-01
806.000,2018-11-01,1956-01-01,2018-11-01
847.000,2018-11-01,1957-01-01,2018-11-01
886.000,2018-11-01,1958-01-01,2018-11-01
919.000,2018-11-01,1959-01-01,2018-11-01
954.000,2018-11-01,1960-01-01,2018-11-01
965.000,2018-11-01,1961-01-01,2018-11-01
979.000,2018-11-01,1962-01-01,2018-11-01
989.000,2018-11-01,1963-01-01,2018-11-01
1006.000,2018-11-01,1964-01-01,2018-11-01
1012.000,2018-11-01,1965-01-01,2018-11-01
1007.000,2018-11-01,1966-01-01,2018-11-01
1000.000,2018-11-01,1967-01-01,2018-11-01
994.000,2018-11-01,1968-01-01,2018-11-01
1011.000,2018-11-01,1969-01-01,2018-11-01
1017.055,2018-11-01,1970-01-01,2018-11-01
1053.737,2018-11-01,1971-01-01,2018-11-01
1078.697,2018-11-01,1972-01-01,2018-11-01
1105.529,2018-11-01,1973-01-01,2018-11-01
1131.309,2018-11-01,1974-01-01,2018-11-01
1159.944,2018-11-01,1975-01-01,2018-11-01
1189.295,2018-11-01,1976-01-01,2018-11-01
1215.720,2018-11-01,1977-01-01,2018-11-01
1238.034,2018-11-01,1978-01-01,2018-11-01
1284.722,2018-11-01,1979-01-01,2018-11-01
1309.400,2018-11-01,1980-01-01,2018-11-01
1332.748,2018-11-01,1981-01-01,2018-11-01
1363.823,2018-11-01,1982-01-01,2018-11-01
1394.361,2018-11-01,1983-01-01,2018-11-01
1416.717,2018-11-01,1984-01-01,2018-11-01
1438.361,2018-11-01,1985-01-01,2018-11-01
1462.729,2018-11-01,1986-01-01,2018-11-01
1478.520,2018-11-01,1987-01-01,2018-11-01
1490.337,2018-11-01,1988-01-01,2018-11-01
1503.901,2018-11-01,1989-01-01,2018-11-01
1519.933,2018-11-01,1990-01-01,2018-11-01
1547.115,2018-11-01,1991-01-01,2018-11-01
1580.750,2018-11-01,1992-01-01,2018-11-01
1614.937,2018-11-01,1993-01-01,2018-11-01
1653.329,2018-11-01,1994-01-01,2018-11-01
1682.417,2018-11-01,1995-01-01,2018-11-01
1706.151,2018-11-01,1996-01-01,2018-11-01
1722.939,2018-11-01,1997-01-01,2018-11-01
1733.535,2018-11-01,1998-01-01,2018-11-01
1739.844,2018-11-01,1999-01-01,2018-11-01
1821.204,2018-11-01,2000-01-01,2018-11-01
1831.690,2018-11-01,2001-01-01,2018-11-01
1855.309,2018-11-01,2002-01-01,2018-11-01
1877.574,2018-11-01,2003-01-01,2018-11-01
1903.808,2018-11-01,2004-01-01,2018-11-01
1932.274,2018-11-01,2005-01-01,2018-11-01
1962.137,2018-11-01,2006-01-01,2018-11-01
