value,realtime_end,date,realtime_start
7283.000,2018-11-01,1900-01-01,2018-11-01
7449.000,2018-11-01,1901-01-01,2018-11-01
7612.000,2018-11-01,1902-01-01,2018-11-01
7771.000,2018-11-01,1903-01-01,2018-11-01
7927.000,2018-11-01,1904-01-01,2018-11-01
8084.000,2018-11-01,1905-01-01,2018-11-01
8289.000,2018-11-01,1906-01-01,2018-11-01
8499.000,2018-11-01,1907-01-01,2018-11-01
8714.000,2018-11-01,1908-01-01,2018-11-01
8935.000,2018-11-01,1909-01-01,2018-11-01
9137.000,2018-11-01,1910-01-01,2018-11-01
9249.000,2018-11-01,1911-01-01,2018-11-01
9361.000,2018-11-01,1912-01-01,2018-11-01
9473.000,2018-11-01,1913-01-01,2018-11-01
9585.000,2018-11-01,1914-01-01,2018-11-01
9700.000,2018-11-01,1915-01-01,2018-11-01
9848.000,2018-11-01,1916-01-01,2018-11-01
9993.000,2018-11-01,1917-01-01,2018-11-01
9936.000,2018-11-01,1918-01-01,2018-11-01
10252.000,2018-11-01,1919-01-01,2018-11-01
10282.000,2018-11-01,1920-01-01,2018-11-01
10416.000,2018-11-01,1921-01-01,2018-11-01
10589.000,2018-11-01,1922-01-01,2018-11-01
10752.000,2018-11-01,1923-01-01,2018-11-01
10953.000,2018-11-01,1924-01-01,2018-11-01
11186.000,2018-11-01,1925-01-01,2018-11-01
11257.000,2018-11-01,1926-01-01,2018-11-01
11174.000,2018-11-01,1927-01-01,2018-11-01
11599.000,2018-11-01,1928-01-01,2018-11-01
12171.000,2018-11-01,1929-01-01,2018-11-01
12647.000,2018-11-01,1930-01-01,2018-11-01
12848.000,2018-11-01,1931-01-01,2018-11-01
13001.000,2018-11-01,1932-01-01,2018-11-01
13126.000,2018-11-01,1933-01-01,2018-11-01
13253.000,2018-11-01,1934-01-01,2018-11-01
13375.000,2018-11-01,1935-01-01,2018-11-01
13481.000,2018-11-01,1936-01-01,2018-11-01
13511.000,2018-11-01,1937-01-01,2018-11-01
13512.000,2018-11-01,1938-01-01,2018-11-01
13523.000,2018-11-01,1939-01-01,2018-11-01
13456.000,2018-11-01,1940-01-01,2018-11-01
13267.000,2018-11-01,1941-01-01,2018-11-01
13002.000,2018-11-01,1942-01-01,2018-11-01
12807.000,2018-11-01,1943-01-01,2018-11-01
12628.000,2018-11-01,1944-01-01,2018-11-01
12495.000,2018-11-01,1945-01-01,2018-11-01
13398.000,2018-11-01,1946-01-01,2018-11-01
13982.000,2018-11-01,1947-01-01,2018-11-01
14497.000,2018-11-01,1948-01-01,2018-11-01
14892.000,2018-11-01,1949-01-01,2018-11-01
14865.000,2018-11-01,1950-01-01,2018-11-01
14890.000,2018-11-01,1951-01-01,2018-11-01
15192.000,2018-11-01,1952-01-01,2018-11-01
15527.000,2018-11-01,1953-01-01,2018-11-01
15814.000,2018-11-01,1954-01-01,2018-11-01
15966.000,2018-11-01,1955-01-01,2018-11-01
16112.000,2018-11-01,1956-01-01,2018-11-01
16374.000,2018-11-01,1957-01-01,2018-11-01
16601.000,2018-11-01,1958-01-01,2018-11-01
16685.000,2018-11-01,1959-01-01,2018-11-01
16838.000,2018-11-01,1960-01-01,2018-11-01
17061.000,2018-11-01,1961-01-01,2018-11-01
17301.000,2018-11-01,1962-01-01,2018-11-01
17461.000,2018-11-01,1963-01-01,2018-11-01
17589.000,2018-11-01,1964-01-01,2018-11-01
17734.000,2018-11-01,1965-01-01,2018-11-01
17843.000,2018-11-01,1966-01-01,2018-11-01
17935.000,2018-11-01,1967-01-01,2018-11-01
18051.000,2018-11-01,1968-01-01,2018-11-01
18105.000,2018-11-01,1969-01-01,2018-11-01
18241.391,2018-11-01,1970-01-01,2018-11-01
18357.982,2018-11-01,1971-01-01,2018-11-01
18339.400,2018-11-01,1972-01-01,2018-11-01
18177.063,2018-11-01,1973-01-01,2018-11-01
18049.775,2018-11-01,1974-01-01,2018-11-01
18003.485,2018-11-01,1975-01-01,2018-11-01
17940.541,2018-11-01,1976-01-01,2018-11-01
17812.602,2018-11-01,1977-01-01,2018-11-01
17680.589,2018-11-01,1978-01-01,2018-11-01
17583.838,2018-11-01,1979-01-01,2018-11-01
17566.754,2018-11-01,1980-01-01,2018-11-01
17567.734,2018-11-01,1981-01-01,2018-11-01
17589.738,2018-11-01,1982-01-01,2018-11-01
17686.905,2018-11-01,1983-01-01,2018-11-01
17745.684,2018-11-01,1984-01-01,2018-11-01
17791.672,2018-11-01,1985-01-01,2018-11-01
17833.419,2018-11-01,1986-01-01,2018-11-01
17868.848,2018-11-01,1987-01-01,2018-11-01
17941.309,2018-11-01,1988-01-01,2018-11-01
17983.086,2018-11-01,1989-01-01,2018-11-01
18002.855,2018-11-01,1990-01-01,2018-11-01
18029.532,2018-11-01,1991-01-01,2018-11-01
18082.032,2018-11-01,1992-01-01,2018-11-01
18140.894,2018-11-01,1993-01-01,2018-11-01
18156.652,2018-11-01,1994-01-01,2018-11-01
18150.928,2018-11-01,1995-01-01,2018-11-01
18143.805,2018-11-01,1996-01-01,2018-11-01
18143.184,2018-11-01,1997-01-01,2018-11-01
18159.175,2018-11-01,1998-01-01,2018-11-01
18196.601,2018-11-01,1999-01-01,2018-11-01
19001.780,2018-11-01,2000-01-01,2018-11-01
19082.838,2018-11-01,2001-01-01,2018-11-01
19137.800,2018-11-01,2002-01-01,2018-11-01
19175.939,2018-11-01,2003-01-01,2018-11-01
19171.567,2018-11-01,2004-01-01,2018-11-01
19132.610,2018-11-01,2005-01-01,2018-11-01
19104.631,2018-11-01,2006-01-01,2018-11-01
19132.335,2018-11-01,2007-01-01,2018-11-01
19212.436,2018-11-01,2008-01-01,2018-11-01
19307.066,2018-11-01,2009-01-01,2018-11-01
19405.185,2018-11-01,2010-01-01,2018-11-01
19526.372,2018-11-01,2011-01-01,2018-11-01
19625.409,2018-11-01,2012-01-01,2018-11-01
19712.514,2018-11-01,2013-01-01,2018-11-01
19773.580,2018-11-01,2014-01-01,2018-11-01
19819.347,2018-11-01,2015-01-01,2018-11-01
19836.286,2018-11-01,2016-01-01,2018-11-01
19849.399,2018-11-01,2017-01-01,2018-11-01
