value,realtime_end,date,realtime_start
4161.000,2018-11-01,1900-01-01,2018-11-01
4216.000,2018-11-01,1901-01-01,2018-11-01
4322.000,2018-11-01,1902-01-01,2018-11-01
4386.000,2018-11-01,1903-01-01,2018-11-01
4458.000,2018-11-01,1904-01-01,2018-11-01
4530.000,2018-11-01,1905-01-01,2018-11-01
4587.000,2018-11-01,1906-01-01,2018-11-01
4630.000,2018-11-01,1907-01-01,2018-11-01
4677.000,2018-11-01,1908-01-01,2018-11-01
4701.000,2018-11-01,1909-01-01,2018-11-01
4786.000,2018-11-01,1910-01-01,2018-11-01
4821.000,2018-11-01,1911-01-01,2018-11-01
4893.000,2018-11-01,1912-01-01,2018-11-01
4997.000,2018-11-01,1913-01-01,2018-11-01
5109.000,2018-11-01,1914-01-01,2018-11-01
5251.000,2018-11-01,1915-01-01,2018-11-01
5366.000,2018-11-01,1916-01-01,2018-11-01
5510.000,2018-11-01,1917-01-01,2018-11-01
5547.000,2018-11-01,1918-01-01,2018-11-01
5683.000,2018-11-01,1919-01-01,2018-11-01
5799.000,2018-11-01,1920-01-01,2018-11-01
5921.000,2018-11-01,1921-01-01,2018-11-01
6054.000,2018-11-01,1922-01-01,2018-11-01
6183.000,2018-11-01,1923-01-01,2018-11-01
6319.000,2018-11-01,1924-01-01,2018-11-01
6434.000,2018-11-01,1925-01-01,2018-11-01
6504.000,2018-11-01,1926-01-01,2018-11-01
6577.000,2018-11-01,1927-01-01,2018-11-01
6608.000,2018-11-01,1928-01-01,2018-11-01
6626.000,2018-11-01,1929-01-01,2018-11-01
6662.000,2018-11-01,1930-01-01,2018-11-01
6694.000,2018-11-01,1931-01-01,2018-11-01
6717.000,2018-11-01,1932-01-01,2018-11-01
6740.000,2018-11-01,1933-01-01,2018-11-01
6751.000,2018-11-01,1934-01-01,2018-11-01
6787.000,2018-11-01,1935-01-01,2018-11-01
6801.000,2018-11-01,1936-01-01,2018-11-01
6809.000,2018-11-01,1937-01-01,2018-11-01
6837.000,2018-11-01,1938-01-01,2018-11-01
6886.000,2018-11-01,1939-01-01,2018-11-01
6929.000,2018-11-01,1940-01-01,2018-11-01
6958.000,2018-11-01,1941-01-01,2018-11-01
6969.000,2018-11-01,1942-01-01,2018-11-01
6868.000,2018-11-01,1943-01-01,2018-11-01
6918.000,2018-11-01,1944-01-01,2018-11-01
6916.000,2018-11-01,1945-01-01,2018-11-01
7512.000,2018-11-01,1946-01-01,2018-11-01
7705.000,2018-11-01,1947-01-01,2018-11-01
7876.000,2018-11-01,1948-01-01,2018-11-01
7973.000,2018-11-01,1949-01-01,2018-11-01
7980.000,2018-11-01,1950-01-01,2018-11-01
8061.000,2018-11-01,1951-01-01,2018-11-01
8275.000,2018-11-01,1952-01-01,2018-11-01
8591.000,2018-11-01,1953-01-01,2018-11-01
8873.000,2018-11-01,1954-01-01,2018-11-01
9017.000,2018-11-01,1955-01-01,2018-11-01
9207.000,2018-11-01,1956-01-01,2018-11-01
9410.000,2018-11-01,1957-01-01,2018-11-01
9599.000,2018-11-01,1958-01-01,2018-11-01
9671.000,2018-11-01,1959-01-01,2018-11-01
9734.000,2018-11-01,1960-01-01,2018-11-01
9854.000,2018-11-01,1961-01-01,2018-11-01
9929.000,2018-11-01,1962-01-01,2018-11-01
9986.000,2018-11-01,1963-01-01,2018-11-01
10080.000,2018-11-01,1964-01-01,2018-11-01
10201.000,2018-11-01,1965-01-01,2018-11-01
10330.000,2018-11-01,1966-01-01,2018-11-01
10414.000,2018-11-01,1967-01-01,2018-11-01
10516.000,2018-11-01,1968-01-01,2018-11-01
10563.000,2018-11-01,1969-01-01,2018-11-01
10657.423,2018-11-01,1970-01-01,2018-11-01
10734.818,2018-11-01,1971-01-01,2018-11-01
10746.993,2018-11-01,1972-01-01,2018-11-01
10767.314,2018-11-01,1973-01-01,2018-11-01
10765.759,2018-11-01,1974-01-01,2018-11-01
10770.425,2018-11-01,1975-01-01,2018-11-01
10752.662,2018-11-01,1976-01-01,2018-11-01
10771.394,2018-11-01,1977-01-01,2018-11-01
10795.581,2018-11-01,1978-01-01,2018-11-01
10798.298,2018-11-01,1979-01-01,2018-11-01
10800.650,2018-11-01,1980-01-01,2018-11-01
10788.330,2018-11-01,1981-01-01,2018-11-01
10757.087,2018-11-01,1982-01-01,2018-11-01
10737.632,2018-11-01,1983-01-01,2018-11-01
10737.746,2018-11-01,1984-01-01,2018-11-01
10734.926,2018-11-01,1985-01-01,2018-11-01
10730.268,2018-11-01,1986-01-01,2018-11-01
10760.090,2018-11-01,1987-01-01,2018-11-01
10798.552,2018-11-01,1988-01-01,2018-11-01
10829.217,2018-11-01,1989-01-01,2018-11-01
10861.837,2018-11-01,1990-01-01,2018-11-01
10933.683,2018-11-01,1991-01-01,2018-11-01
11007.609,2018-11-01,1992-01-01,2018-11-01
11070.385,2018-11-01,1993-01-01,2018-11-01
