value,realtime_end,date,realtime_start
800.000,2018-11-01,1900-01-01,2018-11-01
916.000,2018-11-01,1901-01-01,2018-11-01
1027.000,2018-11-01,1902-01-01,2018-11-01
1118.000,2018-11-01,1903-01-01,2018-11-01
1200.000,2018-11-01,1904-01-01,2018-11-01
1277.000,2018-11-01,1905-01-01,2018-11-01
1349.000,2018-11-01,1906-01-01,2018-11-01
1414.000,2018-11-01,1907-01-01,2018-11-01
1498.000,2018-11-01,1908-01-01,2018-11-01
1585.000,2018-11-01,1909-01-01,2018-11-01
1671.000,2018-11-01,1910-01-01,2018-11-01
1714.000,2018-11-01,1911-01-01,2018-11-01
1737.000,2018-11-01,1912-01-01,2018-11-01
1777.000,2018-11-01,1913-01-01,2018-11-01
1824.000,2018-11-01,1914-01-01,2018-11-01
1860.000,2018-11-01,1915-01-01,2018-11-01
1907.000,2018-11-01,1916-01-01,2018-11-01
1960.000,2018-11-01,1917-01-01,2018-11-01
1969.000,2018-11-01,1918-01-01,2018-11-01
2003.000,2018-11-01,1919-01-01,2018-11-01
2055.000,2018-11-01,1920-01-01,2018-11-01
2108.000,2018-11-01,1921-01-01,2018-11-01
2140.000,2018-11-01,1922-01-01,2018-11-01
2159.000,2018-11-01,1923-01-01,2018-11-01
2179.000,2018-11-01,1924-01-01,2018-11-01
2216.000,2018-11-01,1925-01-01,2018-11-01
2256.000,2018-11-01,1926-01-01,2018-11-01
2306.000,2018-11-01,1927-01-01,2018-11-01
2344.000,2018-11-01,1928-01-01,2018-11-01
2372.000,2018-11-01,1929-01-01,2018-11-01
2401.000,2018-11-01,1930-01-01,2018-11-01
2403.000,2018-11-01,1931-01-01,2018-11-01
2394.000,2018-11-01,1932-01-01,2018-11-01
2392.000,2018-11-01,1933-01-01,2018-11-01
2391.000,2018-11-01,1934-01-01,2018-11-01
2386.000,2018-11-01,1935-01-01,2018-11-01
2365.000,2018-11-01,1936-01-01,2018-11-01
2334.000,2018-11-01,1937-01-01,2018-11-01
2324.000,2018-11-01,1938-01-01,2018-11-01
