value,realtime_end,date,realtime_start
415.000,2018-11-01,1900-01-01,2018-11-01
434.000,2018-11-01,1901-01-01,2018-11-01
454.000,2018-11-01,1902-01-01,2018-11-01
479.000,2018-11-01,1903-01-01,2018-11-01
504.000,2018-11-01,1904-01-01,2018-11-01
530.000,2018-11-01,1905-01-01,2018-11-01
555.000,2018-11-01,1906-01-01,2018-11-01
580.000,2018-11-01,1907-01-01,2018-11-01
610.000,2018-11-01,1908-01-01,2018-11-01
643.000,2018-11-01,1909-01-01,2018-11-01
677.000,2018-11-01,1910-01-01,2018-11-01
692.000,2018-11-01,1911-01-01,2018-11-01
706.000,2018-11-01,1912-01-01,2018-11-01
722.000,2018-11-01,1913-01-01,2018-11-01
736.000,2018-11-01,1914-01-01,2018-11-01
745.000,2018-11-01,1915-01-01,2018-11-01
756.000,2018-11-01,1916-01-01,2018-11-01
763.000,2018-11-01,1917-01-01,2018-11-01
763.000,2018-11-01,1918-01-01,2018-11-01
774.000,2018-11-01,1919-01-01,2018-11-01
788.000,2018-11-01,1920-01-01,2018-11-01
798.000,2018-11-01,1921-01-01,2018-11-01
814.000,2018-11-01,1922-01-01,2018-11-01
833.000,2018-11-01,1923-01-01,2018-11-01
856.000,2018-11-01,1924-01-01,2018-11-01
883.000,2018-11-01,1925-01-01,2018-11-01
905.000,2018-11-01,1926-01-01,2018-11-01
925.000,2018-11-01,1927-01-01,2018-11-01
936.000,2018-11-01,1928-01-01,2018-11-01
947.000,2018-11-01,1929-01-01,2018-11-01
956.000,2018-11-01,1930-01-01,2018-11-01
966.000,2018-11-01,1931-01-01,2018-11-01
972.000,2018-11-01,1932-01-01,2018-11-01
978.000,2018-11-01,1933-01-01,2018-11-01
985.000,2018-11-01,1934-01-01,2018-11-01
1001.000,2018-11-01,1935-01-01,2018-11-01
1025.000,2018-11-01,1936-01-01,2018-11-01
1048.000,2018-11-01,1937-01-01,2018-11-01
1067.000,2018-11-01,1938-01-01,2018-11-01
1081.000,2018-11-01,1939-01-01,2018-11-01
1086.000,2018-11-01,1940-01-01,2018-11-01
1071.000,2018-11-01,1941-01-01,2018-11-01
1107.000,2018-11-01,1942-01-01,2018-11-01
1221.000,2018-11-01,1943-01-01,2018-11-01
1233.000,2018-11-01,1944-01-01,2018-11-01
1250.000,2018-11-01,1945-01-01,2018-11-01
1338.000,2018-11-01,1946-01-01,2018-11-01
1361.000,2018-11-01,1947-01-01,2018-11-01
1405.000,2018-11-01,1948-01-01,2018-11-01
1431.000,2018-11-01,1949-01-01,2018-11-01
1532.000,2018-11-01,1950-01-01,2018-11-01
1556.000,2018-11-01,1951-01-01,2018-11-01
1582.000,2018-11-01,1952-01-01,2018-11-01
1601.000,2018-11-01,1953-01-01,2018-11-01
1626.000,2018-11-01,1954-01-01,2018-11-01
1659.000,2018-11-01,1955-01-01,2018-11-01
1698.000,2018-11-01,1956-01-01,2018-11-01
1712.000,2018-11-01,1957-01-01,2018-11-01
1718.000,2018-11-01,1958-01-01,2018-11-01
1746.000,2018-11-01,1959-01-01,2018-11-01
1772.000,2018-11-01,1960-01-01,2018-11-01
1787.000,2018-11-01,1961-01-01,2018-11-01
1818.000,2018-11-01,1962-01-01,2018-11-01
1853.000,2018-11-01,1963-01-01,2018-11-01
1888.000,2018-11-01,1964-01-01,2018-11-01
1937.000,2018-11-01,1965-01-01,2018-11-01
1969.000,2018-11-01,1966-01-01,2018-11-01
1979.000,2018-11-01,1967-01-01,2018-11-01
2004.000,2018-11-01,1968-01-01,2018-11-01
2062.000,2018-11-01,1969-01-01,2018-11-01
2091.533,2018-11-01,1970-01-01,2018-11-01
2151.022,2018-11-01,1971-01-01,2018-11-01
2197.297,2018-11-01,1972-01-01,2018-11-01
2241.932,2018-11-01,1973-01-01,2018-11-01
2285.013,2018-11-01,1974-01-01,2018-11-01
2329.661,2018-11-01,1975-01-01,2018-11-01
2378.262,2018-11-01,1976-01-01,2018-11-01
2446.673,2018-11-01,1977-01-01,2018-11-01
2518.298,2018-11-01,1978-01-01,2018-11-01
2588.012,2018-11-01,1979-01-01,2018-11-01
2641.218,2018-11-01,1980-01-01,2018-11-01
2667.982,2018-11-01,1981-01-01,2018-11-01
2664.922,2018-11-01,1982-01-01,2018-11-01
2653.066,2018-11-01,1983-01-01,2018-11-01
2666.588,2018-11-01,1984-01-01,2018-11-01
2672.652,2018-11-01,1985-01-01,2018-11-01
2683.528,2018-11-01,1986-01-01,2018-11-01
2700.991,2018-11-01,1987-01-01,2018-11-01
2741.297,2018-11-01,1988-01-01,2018-11-01
2790.575,2018-11-01,1989-01-01,2018-11-01
2858.547,2018-11-01,1990-01-01,2018-11-01
2918.745,2018-11-01,1991-01-01,2018-11-01
2973.934,2018-11-01,1992-01-01,2018-11-01
3034.490,2018-11-01,1993-01-01,2018-11-01
3087.142,2018-11-01,1994-01-01,2018-11-01
3141.421,2018-11-01,1995-01-01,2018-11-01
3195.087,2018-11-01,1996-01-01,2018-11-01
3243.254,2018-11-01,1997-01-01,2018-11-01
3282.055,2018-11-01,1998-01-01,2018-11-01
3316.154,2018-11-01,1999-01-01,2018-11-01
3429.708,2018-11-01,2000-01-01,2018-11-01
3467.937,2018-11-01,2001-01-01,2018-11-01
3513.424,2018-11-01,2002-01-01,2018-11-01
3547.376,2018-11-01,2003-01-01,2018-11-01
3569.463,2018-11-01,2004-01-01,2018-11-01
3613.202,2018-11-01,2005-01-01,2018-11-01
3670.883,2018-11-01,2006-01-01,2018-11-01
3722.417,2018-11-01,2007-01-01,2018-11-01
3768.748,2018-11-01,2008-01-01,2018-11-01
3808.600,2018-11-01,2009-01-01,2018-11-01
3837.073,2018-11-01,2010-01-01,2018-11-01
3865.845,2018-11-01,2011-01-01,2018-11-01
3893.920,2018-11-01,2012-01-01,2018-11-01
3919.664,2018-11-01,2013-01-01,2018-11-01
3960.673,2018-11-01,2014-01-01,2018-11-01
4016.537,2018-11-01,2015-01-01,2018-11-01
4085.989,2018-11-01,2016-01-01,2018-11-01
4142.776,2018-11-01,2017-01-01,2018-11-01
