value,realtime_end,date,realtime_start
6313.000,2018-11-01,1900-01-01,2018-11-01
6439.000,2018-11-01,1901-01-01,2018-11-01
6567.000,2018-11-01,1902-01-01,2018-11-01
6699.000,2018-11-01,1903-01-01,2018-11-01
6833.000,2018-11-01,1904-01-01,2018-11-01
6970.000,2018-11-01,1905-01-01,2018-11-01
7110.000,2018-11-01,1906-01-01,2018-11-01
7253.000,2018-11-01,1907-01-01,2018-11-01
7398.000,2018-11-01,1908-01-01,2018-11-01
7546.000,2018-11-01,1909-01-01,2018-11-01
7706.000,2018-11-01,1910-01-01,2018-11-01
7850.000,2018-11-01,1911-01-01,2018-11-01
7986.000,2018-11-01,1912-01-01,2018-11-01
8139.000,2018-11-01,1913-01-01,2018-11-01
8276.000,2018-11-01,1914-01-01,2018-11-01
8362.000,2018-11-01,1915-01-01,2018-11-01
8463.000,2018-11-01,1916-01-01,2018-11-01
8578.000,2018-11-01,1917-01-01,2018-11-01
8524.000,2018-11-01,1918-01-01,2018-11-01
8643.000,2018-11-01,1919-01-01,2018-11-01
8740.000,2018-11-01,1920-01-01,2018-11-01
8900.000,2018-11-01,1921-01-01,2018-11-01
8982.000,2018-11-01,1922-01-01,2018-11-01
9148.000,2018-11-01,1923-01-01,2018-11-01
9383.000,2018-11-01,1924-01-01,2018-11-01
9478.000,2018-11-01,1925-01-01,2018-11-01
9594.000,2018-11-01,1926-01-01,2018-11-01
9745.000,2018-11-01,1927-01-01,2018-11-01
9802.000,2018-11-01,1928-01-01,2018-11-01
9723.000,2018-11-01,1929-01-01,2018-11-01
9649.000,2018-11-01,1930-01-01,2018-11-01
9707.000,2018-11-01,1931-01-01,2018-11-01
9764.000,2018-11-01,1932-01-01,2018-11-01
9784.000,2018-11-01,1933-01-01,2018-11-01
9795.000,2018-11-01,1934-01-01,2018-11-01
9774.000,2018-11-01,1935-01-01,2018-11-01
9767.000,2018-11-01,1936-01-01,2018-11-01
9790.000,2018-11-01,1937-01-01,2018-11-01
9952.000,2018-11-01,1938-01-01,2018-11-01
9901.000,2018-11-01,1939-01-01,2018-11-01
9896.000,2018-11-01,1940-01-01,2018-11-01
9911.000,2018-11-01,1941-01-01,2018-11-01
9704.000,2018-11-01,1942-01-01,2018-11-01
9444.000,2018-11-01,1943-01-01,2018-11-01
9214.000,2018-11-01,1944-01-01,2018-11-01
9143.000,2018-11-01,1945-01-01,2018-11-01
9866.000,2018-11-01,1946-01-01,2018-11-01
10196.000,2018-11-01,1947-01-01,2018-11-01
10287.000,2018-11-01,1948-01-01,2018-11-01
10390.000,2018-11-01,1949-01-01,2018-11-01
10507.000,2018-11-01,1950-01-01,2018-11-01
10461.000,2018-11-01,1951-01-01,2018-11-01
10503.000,2018-11-01,1952-01-01,2018-11-01
10662.000,2018-11-01,1953-01-01,2018-11-01
10817.000,2018-11-01,1954-01-01,2018-11-01
10939.000,2018-11-01,1955-01-01,2018-11-01
10972.000,2018-11-01,1956-01-01,2018-11-01
10954.000,2018-11-01,1957-01-01,2018-11-01
11058.000,2018-11-01,1958-01-01,2018-11-01
11234.000,2018-11-01,1959-01-01,2018-11-01
11329.000,2018-11-01,1960-01-01,2018-11-01
11392.000,2018-11-01,1961-01-01,2018-11-01
11355.000,2018-11-01,1962-01-01,2018-11-01
11424.000,2018-11-01,1963-01-01,2018-11-01
11519.000,2018-11-01,1964-01-01,2018-11-01
11620.000,2018-11-01,1965-01-01,2018-11-01
11664.000,2018-11-01,1966-01-01,2018-11-01
11681.000,2018-11-01,1967-01-01,2018-11-01
11741.000,2018-11-01,1968-01-01,2018-11-01
11741.000,2018-11-01,1969-01-01,2018-11-01
11800.766,2018-11-01,1970-01-01,2018-11-01
11886.400,2018-11-01,1971-01-01,2018-11-01
11908.233,2018-11-01,1972-01-01,2018-11-01
11890.527,2018-11-01,1973-01-01,2018-11-01
11870.884,2018-11-01,1974-01-01,2018-11-01
11906.095,2018-11-01,1975-01-01,2018-11-01
11897.378,2018-11-01,1976-01-01,2018-11-01
11893.591,2018-11-01,1977-01-01,2018-11-01
11879.396,2018-11-01,1978-01-01,2018-11-01
11887.975,2018-11-01,1979-01-01,2018-11-01
11868.305,2018-11-01,1980-01-01,2018-11-01
11858.567,2018-11-01,1981-01-01,2018-11-01
11845.146,2018-11-01,1982-01-01,2018-11-01
11837.723,2018-11-01,1983-01-01,2018-11-01
11815.172,2018-11-01,1984-01-01,2018-11-01
11770.862,2018-11-01,1985-01-01,2018-11-01
11782.752,2018-11-01,1986-01-01,2018-11-01
11810.866,2018-11-01,1987-01-01,2018-11-01
11845.752,2018-11-01,1988-01-01,2018-11-01
11865.996,2018-11-01,1989-01-01,2018-11-01
11895.604,2018-11-01,1990-01-01,2018-11-01
11943.160,2018-11-01,1991-01-01,2018-11-01
11980.819,2018-11-01,1992-01-01,2018-11-01
12022.128,2018-11-01,1993-01-01,2018-11-01
12042.545,2018-11-01,1994-01-01,2018-11-01
12044.780,2018-11-01,1995-01-01,2018-11-01
