value,realtime_end,date,realtime_start
430.000,2018-11-01,1900-01-01,2018-11-01
441.000,2018-11-01,1901-01-01,2018-11-01
450.000,2018-11-01,1902-01-01,2018-11-01
460.000,2018-11-01,1903-01-01,2018-11-01
471.000,2018-11-01,1904-01-01,2018-11-01
481.000,2018-11-01,1905-01-01,2018-11-01
492.000,2018-11-01,1906-01-01,2018-11-01
505.000,2018-11-01,1907-01-01,2018-11-01
519.000,2018-11-01,1908-01-01,2018-11-01
532.000,2018-11-01,1909-01-01,2018-11-01
545.000,2018-11-01,1910-01-01,2018-11-01
556.000,2018-11-01,1911-01-01,2018-11-01
567.000,2018-11-01,1912-01-01,2018-11-01
578.000,2018-11-01,1913-01-01,2018-11-01
589.000,2018-11-01,1914-01-01,2018-11-01
597.000,2018-11-01,1915-01-01,2018-11-01
598.000,2018-11-01,1916-01-01,2018-11-01
606.000,2018-11-01,1917-01-01,2018-11-01
604.000,2018-11-01,1918-01-01,2018-11-01
603.000,2018-11-01,1919-01-01,2018-11-01
613.000,2018-11-01,1920-01-01,2018-11-01
629.000,2018-11-01,1921-01-01,2018-11-01
644.000,2018-11-01,1922-01-01,2018-11-01
656.000,2018-11-01,1923-01-01,2018-11-01
669.000,2018-11-01,1924-01-01,2018-11-01
680.000,2018-11-01,1925-01-01,2018-11-01
681.000,2018-11-01,1926-01-01,2018-11-01
677.000,2018-11-01,1927-01-01,2018-11-01
678.000,2018-11-01,1928-01-01,2018-11-01
684.000,2018-11-01,1929-01-01,2018-11-01
686.000,2018-11-01,1930-01-01,2018-11-01
681.000,2018-11-01,1931-01-01,2018-11-01
677.000,2018-11-01,1932-01-01,2018-11-01
675.000,2018-11-01,1933-01-01,2018-11-01
675.000,2018-11-01,1934-01-01,2018-11-01
678.000,2018-11-01,1935-01-01,2018-11-01
686.000,2018-11-01,1936-01-01,2018-11-01
694.000,2018-11-01,1937-01-01,2018-11-01
694.000,2018-11-01,1938-01-01,2018-11-01
701.000,2018-11-01,1939-01-01,2018-11-01
719.000,2018-11-01,1940-01-01,2018-11-01
731.000,2018-11-01,1941-01-01,2018-11-01
748.000,2018-11-01,1942-01-01,2018-11-01
760.000,2018-11-01,1943-01-01,2018-11-01
795.000,2018-11-01,1944-01-01,2018-11-01
776.000,2018-11-01,1945-01-01,2018-11-01
770.000,2018-11-01,1946-01-01,2018-11-01
776.000,2018-11-01,1947-01-01,2018-11-01
787.000,2018-11-01,1948-01-01,2018-11-01
801.000,2018-11-01,1949-01-01,2018-11-01
786.000,2018-11-01,1950-01-01,2018-11-01
784.000,2018-11-01,1951-01-01,2018-11-01
802.000,2018-11-01,1952-01-01,2018-11-01
815.000,2018-11-01,1953-01-01,2018-11-01
816.000,2018-11-01,1954-01-01,2018-11-01
823.000,2018-11-01,1955-01-01,2018-11-01
840.000,2018-11-01,1956-01-01,2018-11-01
851.000,2018-11-01,1957-01-01,2018-11-01
858.000,2018-11-01,1958-01-01,2018-11-01
857.000,2018-11-01,1959-01-01,2018-11-01
855.000,2018-11-01,1960-01-01,2018-11-01
858.000,2018-11-01,1961-01-01,2018-11-01
871.000,2018-11-01,1962-01-01,2018-11-01
876.000,2018-11-01,1963-01-01,2018-11-01
885.000,2018-11-01,1964-01-01,2018-11-01
893.000,2018-11-01,1965-01-01,2018-11-01
899.000,2018-11-01,1966-01-01,2018-11-01
909.000,2018-11-01,1967-01-01,2018-11-01
922.000,2018-11-01,1968-01-01,2018-11-01
932.000,2018-11-01,1969-01-01,2018-11-01
949.723,2018-11-01,1970-01-01,2018-11-01
963.107,2018-11-01,1971-01-01,2018-11-01
974.790,2018-11-01,1972-01-01,2018-11-01
975.738,2018-11-01,1973-01-01,2018-11-01
950.615,2018-11-01,1974-01-01,2018-11-01
942.788,2018-11-01,1975-01-01,2018-11-01
946.089,2018-11-01,1976-01-01,2018-11-01
950.230,2018-11-01,1977-01-01,2018-11-01
951.816,2018-11-01,1978-01-01,2018-11-01
950.382,2018-11-01,1979-01-01,2018-11-01
948.773,2018-11-01,1980-01-01,2018-11-01
953.013,2018-11-01,1981-01-01,2018-11-01
954.170,2018-11-01,1982-01-01,2018-11-01
956.382,2018-11-01,1983-01-01,2018-11-01
961.894,2018-11-01,1984-01-01,2018-11-01
968.955,2018-11-01,1985-01-01,2018-11-01
977.341,2018-11-01,1986-01-01,2018-11-01
989.604,2018-11-01,1987-01-01,2018-11-01
996.408,2018-11-01,1988-01-01,2018-11-01
1000.666,2018-11-01,1989-01-01,2018-11-01
1004.649,2018-11-01,1990-01-01,2018-11-01
1003.990,2018-11-01,1991-01-01,2018-11-01
1000.571,2018-11-01,1992-01-01,2018-11-01
997.852,2018-11-01,1993-01-01,2018-11-01
993.412,2018-11-01,1994-01-01,2018-11-01
989.203,2018-11-01,1995-01-01,2018-11-01
987.858,2018-11-01,1996-01-01,2018-11-01
986.966,2018-11-01,1997-01-01,2018-11-01
987.704,2018-11-01,1998-01-01,2018-11-01
990.819,2018-11-01,1999-01-01,2018-11-01
1050.268,2018-11-01,2000-01-01,2018-11-01
1057.142,2018-11-01,2001-01-01,2018-11-01
1065.995,2018-11-01,2002-01-01,2018-11-01
1071.342,2018-11-01,2003-01-01,2018-11-01
1074.579,2018-11-01,2004-01-01,2018-11-01
1067.916,2018-11-01,2005-01-01,2018-11-01
1063.096,2018-11-01,2006-01-01,2018-11-01
1057.315,2018-11-01,2007-01-01,2018-11-01
1055.003,2018-11-01,2008-01-01,2018-11-01
1053.646,2018-11-01,2009-01-01,2018-11-01
1053.169,2018-11-01,2010-01-01,2018-11-01
1052.154,2018-11-01,2011-01-01,2018-11-01
1052.761,2018-11-01,2012-01-01,2018-11-01
1052.784,2018-11-01,2013-01-01,2018-11-01
1054.782,2018-11-01,2014-01-01,2018-11-01
1055.916,2018-11-01,2015-01-01,2018-11-01
1057.566,2018-11-01,2016-01-01,2018-11-01
1059.639,2018-11-01,2017-01-01,2018-11-01
