value,realtime_end,date,realtime_start
2023.000,2018-11-01,1900-01-01,2018-11-01
2041.000,2018-11-01,1901-01-01,2018-11-01
2060.000,2018-11-01,1902-01-01,2018-11-01
2082.000,2018-11-01,1903-01-01,2018-11-01
2086.000,2018-11-01,1904-01-01,2018-11-01
2111.000,2018-11-01,1905-01-01,2018-11-01
2136.000,2018-11-01,1906-01-01,2018-11-01
2136.000,2018-11-01,1907-01-01,2018-11-01
2164.000,2018-11-01,1908-01-01,2018-11-01
2177.000,2018-11-01,1909-01-01,2018-11-01
2191.000,2018-11-01,1910-01-01,2018-11-01
2197.000,2018-11-01,1911-01-01,2018-11-01
2218.000,2018-11-01,1912-01-01,2018-11-01
2257.000,2018-11-01,1913-01-01,2018-11-01
2289.000,2018-11-01,1914-01-01,2018-11-01
2294.000,2018-11-01,1915-01-01,2018-11-01
2304.000,2018-11-01,1916-01-01,2018-11-01
2331.000,2018-11-01,1917-01-01,2018-11-01
2288.000,2018-11-01,1918-01-01,2018-11-01
2305.000,2018-11-01,1919-01-01,2018-11-01
2329.000,2018-11-01,1920-01-01,2018-11-01
2369.000,2018-11-01,1921-01-01,2018-11-01
2424.000,2018-11-01,1922-01-01,2018-11-01
2463.000,2018-11-01,1923-01-01,2018-11-01
2502.000,2018-11-01,1924-01-01,2018-11-01
2531.000,2018-11-01,1925-01-01,2018-11-01
2553.000,2018-11-01,1926-01-01,2018-11-01
2608.000,2018-11-01,1927-01-01,2018-11-01
2624.000,2018-11-01,1928-01-01,2018-11-01
2604.000,2018-11-01,1929-01-01,2018-11-01
2619.000,2018-11-01,1930-01-01,2018-11-01
2657.000,2018-11-01,1931-01-01,2018-11-01
2711.000,2018-11-01,1932-01-01,2018-11-01
2747.000,2018-11-01,1933-01-01,2018-11-01
2784.000,2018-11-01,1934-01-01,2018-11-01
2798.000,2018-11-01,1935-01-01,2018-11-01
2791.000,2018-11-01,1936-01-01,2018-11-01
2795.000,2018-11-01,1937-01-01,2018-11-01
