value,realtime_end,date,realtime_start
3055.000,2018-11-01,1900-01-01,2018-11-01
3132.000,2018-11-01,1901-01-01,2018-11-01
3210.000,2018-11-01,1902-01-01,2018-11-01
3291.000,2018-11-01,1903-01-01,2018-11-01
3374.000,2018-11-01,1904-01-01,2018-11-01
3459.000,2018-11-01,1905-01-01,2018-11-01
3546.000,2018-11-01,1906-01-01,2018-11-01
3636.000,2018-11-01,1907-01-01,2018-11-01
3727.000,2018-11-01,1908-01-01,2018-11-01
3821.000,2018-11-01,1909-01-01,2018-11-01
3922.000,2018-11-01,1910-01-01,2018-11-01
4016.000,2018-11-01,1911-01-01,2018-11-01
4107.000,2018-11-01,1912-01-01,2018-11-01
4207.000,2018-11-01,1913-01-01,2018-11-01
4300.000,2018-11-01,1914-01-01,2018-11-01
4368.000,2018-11-01,1915-01-01,2018-11-01
4444.000,2018-11-01,1916-01-01,2018-11-01
4563.000,2018-11-01,1917-01-01,2018-11-01
4666.000,2018-11-01,1918-01-01,2018-11-01
4631.000,2018-11-01,1919-01-01,2018-11-01
4723.000,2018-11-01,1920-01-01,2018-11-01
4853.000,2018-11-01,1921-01-01,2018-11-01
4955.000,2018-11-01,1922-01-01,2018-11-01
5077.000,2018-11-01,1923-01-01,2018-11-01
5210.000,2018-11-01,1924-01-01,2018-11-01
5332.000,2018-11-01,1925-01-01,2018-11-01
5453.000,2018-11-01,1926-01-01,2018-11-01
5577.000,2018-11-01,1927-01-01,2018-11-01
5675.000,2018-11-01,1928-01-01,2018-11-01
5762.000,2018-11-01,1929-01-01,2018-11-01
5844.000,2018-11-01,1930-01-01,2018-11-01
5907.000,2018-11-01,1931-01-01,2018-11-01
5961.000,2018-11-01,1932-01-01,2018-11-01
6014.000,2018-11-01,1933-01-01,2018-11-01
6053.000,2018-11-01,1934-01-01,2018-11-01
6123.000,2018-11-01,1935-01-01,2018-11-01
6192.000,2018-11-01,1936-01-01,2018-11-01
6250.000,2018-11-01,1937-01-01,2018-11-01
6301.000,2018-11-01,1938-01-01,2018-11-01
6360.000,2018-11-01,1939-01-01,2018-11-01
6425.000,2018-11-01,1940-01-01,2018-11-01
6585.000,2018-11-01,1941-01-01,2018-11-01
6711.000,2018-11-01,1942-01-01,2018-11-01
7012.000,2018-11-01,1943-01-01,2018-11-01
6876.000,2018-11-01,1944-01-01,2018-11-01
6826.000,2018-11-01,1945-01-01,2018-11-01
7197.000,2018-11-01,1946-01-01,2018-11-01
7388.000,2018-11-01,1947-01-01,2018-11-01
7626.000,2018-11-01,1948-01-01,2018-11-01
7623.000,2018-11-01,1949-01-01,2018-11-01
7776.000,2018-11-01,1950-01-01,2018-11-01
8111.000,2018-11-01,1951-01-01,2018-11-01
8314.000,2018-11-01,1952-01-01,2018-11-01
8336.000,2018-11-01,1953-01-01,2018-11-01
8382.000,2018-11-01,1954-01-01,2018-11-01
8660.000,2018-11-01,1955-01-01,2018-11-01
8830.000,2018-11-01,1956-01-01,2018-11-01
9070.000,2018-11-01,1957-01-01,2018-11-01
9252.000,2018-11-01,1958-01-01,2018-11-01
9405.000,2018-11-01,1959-01-01,2018-11-01
9624.000,2018-11-01,1960-01-01,2018-11-01
9820.000,2018-11-01,1961-01-01,2018-11-01
10053.000,2018-11-01,1962-01-01,2018-11-01
10159.000,2018-11-01,1963-01-01,2018-11-01
10270.000,2018-11-01,1964-01-01,2018-11-01
10378.000,2018-11-01,1965-01-01,2018-11-01
10492.000,2018-11-01,1966-01-01,2018-11-01
10599.000,2018-11-01,1967-01-01,2018-11-01
10819.000,2018-11-01,1968-01-01,2018-11-01
11045.000,2018-11-01,1969-01-01,2018-11-01
11198.655,2018-11-01,1970-01-01,2018-11-01
11509.848,2018-11-01,1971-01-01,2018-11-01
11759.148,2018-11-01,1972-01-01,2018-11-01
12019.543,2018-11-01,1973-01-01,2018-11-01
12268.629,2018-11-01,1974-01-01,2018-11-01
12568.843,2018-11-01,1975-01-01,2018-11-01
12904.089,2018-11-01,1976-01-01,2018-11-01
13193.050,2018-11-01,1977-01-01,2018-11-01
13500.429,2018-11-01,1978-01-01,2018-11-01
13888.371,2018-11-01,1979-01-01,2018-11-01
14338.208,2018-11-01,1980-01-01,2018-11-01
14746.318,2018-11-01,1981-01-01,2018-11-01
15331.415,2018-11-01,1982-01-01,2018-11-01
15751.676,2018-11-01,1983-01-01,2018-11-01
16007.086,2018-11-01,1984-01-01,2018-11-01
16272.734,2018-11-01,1985-01-01,2018-11-01
16561.113,2018-11-01,1986-01-01,2018-11-01
16621.791,2018-11-01,1987-01-01,2018-11-01
16667.022,2018-11-01,1988-01-01,2018-11-01
16806.735,2018-11-01,1989-01-01,2018-11-01
17044.714,2018-11-01,1990-01-01,2018-11-01
17339.904,2018-11-01,1991-01-01,2018-11-01
17650.479,2018-11-01,1992-01-01,2018-11-01
17996.764,2018-11-01,1993-01-01,2018-11-01
18338.319,2018-11-01,1994-01-01,2018-11-01
18679.706,2018-11-01,1995-01-01,2018-11-01
19006.240,2018-11-01,1996-01-01,2018-11-01
19355.427,2018-11-01,1997-01-01,2018-11-01
19712.389,2018-11-01,1998-01-01,2018-11-01
20044.141,2018-11-01,1999-01-01,2018-11-01
20944.499,2018-11-01,2000-01-01,2018-11-01
21319.622,2018-11-01,2001-01-01,2018-11-01
21690.325,2018-11-01,2002-01-01,2018-11-01
22030.931,2018-11-01,2003-01-01,2018-11-01
22394.023,2018-11-01,2004-01-01,2018-11-01
22778.123,2018-11-01,2005-01-01,2018-11-01
23359.580,2018-11-01,2006-01-01,2018-11-01
23831.983,2018-11-01,2007-01-01,2018-11-01
24309.039,2018-11-01,2008-01-01,2018-11-01
24801.761,2018-11-01,2009-01-01,2018-11-01
25241.648,2018-11-01,2010-01-01,2018-11-01
25644.424,2018-11-01,2011-01-01,2018-11-01
26078.327,2018-11-01,2012-01-01,2018-11-01
26479.279,2018-11-01,2013-01-01,2018-11-01
26954.436,2018-11-01,2014-01-01,2018-11-01
27454.880,2018-11-01,2015-01-01,2018-11-01
27904.862,2018-11-01,2016-01-01,2018-11-01
28304.596,2018-11-01,2017-01-01,2018-11-01
